onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	337	5	n/a	853.0	5.0	n/a	joystick/joystick_05s.jpg
7.5	0.5	exp	552	5	n/a	1411.0	5.0	n/a	shaving_cream/shaving_cream_05s.jpg
12.0	0.5	exp	401	5	n/a	1006.0	5.0	n/a	mirror/mirror_05s.jpg
16.5	0.5	exp	622	5	n/a	1607.0	5.0	n/a	t-shirt/t-shirt_05s.jpg
21.0	0.5	test	707	13	100.0	1817.0	13.0	n/a	wig/wig_13s.jpg
25.5	0.5	exp	525	5	n/a	1312.0	5.0	n/a	rifle/rifle_05s.jpg
30.0	0.5	exp	136	5	n/a	317.0	5.0	n/a	cherry/cherry_05s.jpg
34.5	0.5	exp	406	5	n/a	1019.0	5.0	n/a	moose/moose_05s.jpg
39.0	0.5	exp	240	5	n/a	578.0	5.0	n/a	fern/fern_05s.jpg
43.5	0.5	exp	369	5	n/a	933.0	5.0	n/a	lingerie/lingerie_05s.jpg
48.0	0.5	catch	721	69	n/a	n/a	n/a	0.853	catch069.jpg
52.5	0.5	exp	464	5	n/a	1169.0	5.0	n/a	pie/pie_05s.jpg
57.0	0.5	exp	706	5	n/a	1812.0	5.0	n/a	whisk/whisk_05s.jpg
61.5	0.5	exp	299	5	n/a	741.0	5.0	n/a	hamburger/hamburger_05s.jpg
66.0	0.5	exp	562	5	n/a	1438.0	5.0	n/a	shredder/shredder_05s.jpg
70.5	0.5	exp	278	5	n/a	692.0	5.0	n/a	gondola/gondola_05s.jpg
75.0	0.5	exp	377	5	n/a	946.0	5.0	n/a	lollipop/lollipop_05s.jpg
79.5	0.5	exp	466	5	n/a	1172.0	5.0	n/a	pigeon/pigeon_05s.jpg
84.0	0.5	exp	205	5	n/a	496.0	5.0	n/a	dog/dog_05s.jpg
88.5	0.5	exp	200	5	n/a	486.0	5.0	n/a	diaper/diaper_05s.jpg
93.0	0.5	catch	721	19	n/a	n/a	n/a	0.865	catch019.jpg
97.5	0.5	exp	699	5	n/a	1791.0	5.0	n/a	water_fountain/water_fountain_05s.jpg
102.0	0.5	exp	720	5	n/a	1854.0	5.0	n/a	zucchini/zucchini_05s.jpg
106.5	0.5	test	7	13	2.0	17.0	13.0	n/a	altar/altar_13s.jpg
111.0	0.5	catch	721	70	n/a	n/a	n/a	0.727	catch070.jpg
115.5	0.5	exp	80	5	n/a	189.0	5.0	n/a	bracelet2/bracelet2_05s.jpg
120.0	0.5	exp	270	5	n/a	670.0	5.0	n/a	gel/gel_05s.jpg
124.5	0.5	exp	468	5	n/a	1177.0	5.0	n/a	pillow/pillow_05s.jpg
129.0	0.5	exp	281	5	n/a	701.0	5.0	n/a	granite/granite_05s.jpg
133.5	0.5	exp	272	5	n/a	677.0	5.0	n/a	girl/girl_05s.jpg
138.0	0.5	catch	721	77	n/a	n/a	n/a	0.661	catch077.jpg
142.5	0.5	exp	59	5	n/a	137.0	5.0	n/a	blanket/blanket_05s.jpg
147.0	0.5	exp	234	5	n/a	564.0	5.0	n/a	extinguisher/extinguisher_05s.jpg
151.5	0.5	exp	530	5	n/a	1324.0	5.0	n/a	roll/roll_05s.jpg
156.0	0.5	exp	590	5	n/a	1516.0	5.0	n/a	spinach/spinach_05s.jpg
160.5	0.5	exp	282	5	n/a	702.0	5.0	n/a	granola/granola_05s.jpg
165.0	0.5	test	214	13	35.0	515.0	13.0	n/a	dragonfly/dragonfly_13s.jpg
169.5	0.5	exp	529	5	n/a	1322.0	5.0	n/a	rocking_chair/rocking_chair_05s.jpg
174.0	0.5	exp	28	5	n/a	61.0	5.0	n/a	balloon/balloon_05s.jpg
178.5	0.5	exp	157	5	n/a	376.0	5.0	n/a	coconut/coconut_05s.jpg
183.0	0.5	exp	340	5	n/a	863.0	5.0	n/a	kangaroo/kangaroo_05s.jpg
187.5	0.5	exp	127	5	n/a	292.0	5.0	n/a	celery/celery_05s.jpg
192.0	0.5	exp	374	5	n/a	940.0	5.0	n/a	lobster/lobster_05s.jpg
196.5	0.5	test	679	13	94.0	1748.0	14.0	n/a	uniform/uniform_14s.jpg
201.0	0.5	test	191	13	32.0	459.0	16.0	n/a	cufflink/cufflink_16s.jpg
205.5	0.5	exp	292	5	n/a	720.0	5.0	n/a	guacamole/guacamole_05s.jpg
210.0	0.5	exp	415	5	n/a	1036.0	5.0	n/a	muffin/muffin_05n.jpg
214.5	0.5	catch	721	22	n/a	n/a	n/a	0.747	catch022.jpg
219.0	0.5	exp	348	5	n/a	884.0	5.0	n/a	knot/knot_05n.jpg
223.5	0.5	exp	605	5	n/a	1563.0	5.0	n/a	stopwatch/stopwatch_05s.jpg
228.0	0.5	exp	224	5	n/a	542.0	5.0	n/a	earwig/earwig_05s.jpg
232.5	0.5	catch	721	71	n/a	n/a	n/a	0.638	catch071.jpg
237.0	0.5	exp	167	5	n/a	398.0	5.0	n/a	contact_lens/contact_lens_05s.jpg
241.5	0.5	exp	333	5	n/a	841.0	5.0	n/a	jar/jar_05s.jpg
246.0	0.5	exp	587	5	n/a	1509.0	5.0	n/a	spatula/spatula_05s.jpg
250.5	0.5	exp	432	5	n/a	1078.0	5.0	n/a	onion/onion_05s.jpg
255.0	0.5	exp	121	5	n/a	278.0	5.0	n/a	carrot/carrot_05s.jpg
259.5	0.5	exp	114	5	n/a	259.0	5.0	n/a	cane/cane_05n.jpg
264.0	0.5	catch	721	31	n/a	n/a	n/a	0.632	catch031.jpg
268.5	0.5	test	79	13	18.0	187.0	14.0	n/a	brace/brace_14s.jpg
273.0	0.5	exp	624	5	n/a	1609.0	5.0	n/a	table/table_05s.jpg
277.5	0.5	catch	721	8	n/a	n/a	n/a	0.858	catch008.jpg
282.0	0.5	exp	40	5	n/a	102.0	5.0	n/a	beaker/beaker_05n.jpg
286.5	0.5	exp	604	5	n/a	1555.0	5.0	n/a	stiletto/stiletto_05s.jpg
291.0	0.5	exp	102	5	n/a	236.0	5.0	n/a	cactus/cactus_05n.jpg
295.5	0.5	test	213	13	34.0	514.0	19.0	n/a	dough/dough_19s.jpg
300.0	0.5	exp	496	5	n/a	1240.0	5.0	n/a	pretzel/pretzel_05s.jpg
304.5	0.5	exp	695	5	n/a	1782.0	5.0	n/a	warthog/warthog_05s.jpg
309.0	0.5	test	345	13	61.0	874.0	14.0	n/a	kimono/kimono_14s.jpg
313.5	0.5	catch	721	83	n/a	n/a	n/a	0.723	catch083.jpg
318.0	0.5	exp	21	5	n/a	44.0	5.0	n/a	avocado/avocado_05s.jpg
322.5	0.5	exp	188	5	n/a	453.0	5.0	n/a	crutch/crutch_05s.jpg
327.0	0.5	test	279	13	44.0	698.0	17.0	n/a	graffiti/graffiti_17s.jpg
331.5	0.5	exp	541	5	n/a	1376.0	5.0	n/a	scanner/scanner_05s.jpg
336.0	0.5	exp	368	5	n/a	932.0	5.0	n/a	limousine/limousine_05s.jpg
340.5	0.5	catch	721	39	n/a	n/a	n/a	0.807	catch039.jpg
345.0	0.5	exp	631	5	n/a	1629.0	5.0	n/a	tarp/tarp_05s.jpg
