onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	616	3	n/a	1589.0	3.0	n/a	sushi/sushi_03s.jpg
7.5	0.5	exp	139	3	n/a	321.0	3.0	n/a	chest2/chest2_03s.jpg
12.0	0.5	exp	701	3	n/a	1805.0	3.0	n/a	whale/whale_03s.jpg
16.5	0.5	exp	483	3	n/a	1213.0	3.0	n/a	polaroid/polaroid_03s.jpg
21.0	0.5	test	223	13	39.0	541.0	16.0	n/a	earring/earring_16n.jpg
25.5	0.5	exp	398	3	n/a	1000.0	3.0	n/a	microscope/microscope_03s.jpg
30.0	0.5	test	242	13	41.0	580.0	20.0	n/a	ferris/ferris_wheel_20s.jpg
34.5	0.5	exp	155	3	n/a	371.0	3.0	n/a	coat_rack/coat_rack_03s.jpg
39.0	0.5	exp	575	3	n/a	1478.0	3.0	n/a	snake/snake_03s.jpg
43.5	0.5	exp	63	3	n/a	141.0	3.0	n/a	blind/blind_03s.jpg
48.0	0.5	exp	165	3	n/a	396.0	3.0	n/a	computer_screen/computer_screen_03s.jpg
52.5	0.5	exp	507	3	n/a	1271.0	3.0	n/a	racket/racket_03s.jpg
57.0	0.5	test	319	13	51.0	799.0	17.0	n/a	horse/horse_17s.jpg
61.5	0.5	catch	721	37	n/a	n/a	n/a	0.647	catch037.jpg
66.0	0.5	exp	198	3	n/a	478.0	3.0	n/a	defibrillator/defibrillator_03s.jpg
70.5	0.5	test	279	13	44.0	698.0	17.0	n/a	graffiti/graffiti_17s.jpg
75.0	0.5	exp	623	3	n/a	1608.0	3.0	n/a	tab/tab_03s.jpg
79.5	0.5	exp	36	3	n/a	83.0	3.0	n/a	basket/basket_03s.jpg
84.0	0.5	exp	540	3	n/a	1373.0	3.0	n/a	scallion/scallion_03s.jpg
88.5	0.5	exp	618	3	n/a	1594.0	3.0	n/a	sweatsuit/sweatsuit_03s.jpg
93.0	0.5	catch	721	82	n/a	n/a	n/a	0.79	catch082.jpg
97.5	0.5	exp	332	3	n/a	840.0	3.0	n/a	jam/jam_03s.jpg
102.0	0.5	exp	525	3	n/a	1312.0	3.0	n/a	rifle/rifle_03n.jpg
106.5	0.5	catch	721	11	n/a	n/a	n/a	0.854	catch011.jpg
111.0	0.5	exp	441	3	n/a	1105.0	3.0	n/a	pancake/pancake_03s.jpg
115.5	0.5	exp	624	3	n/a	1609.0	3.0	n/a	table/table_03s.jpg
120.0	0.5	exp	547	3	n/a	1392.0	3.0	n/a	screwdriver/screwdriver_03s.jpg
124.5	0.5	exp	213	3	n/a	514.0	3.0	n/a	dough/dough_03s.jpg
129.0	0.5	exp	608	3	n/a	1571.0	3.0	n/a	strawberry/strawberry_03n.jpg
133.5	0.5	exp	690	3	n/a	1777.0	3.0	n/a	wallet/wallet_03s.jpg
138.0	0.5	exp	350	3	n/a	887.0	3.0	n/a	ladder/ladder_03s.jpg
142.5	0.5	test	19	13	3.0	42.0	14.0	n/a	ashtray/ashtray_14n.jpg
147.0	0.5	exp	587	3	n/a	1509.0	3.0	n/a	spatula/spatula_03s.jpg
151.5	0.5	catch	721	89	n/a	n/a	n/a	0.958	catch089.jpg
156.0	0.5	exp	249	3	n/a	606.0	3.0	n/a	flag/flag_03s.jpg
160.5	0.5	exp	655	3	n/a	1688.0	3.0	n/a	tortilla/tortilla_03s.jpg
165.0	0.5	exp	285	3	n/a	707.0	3.0	n/a	grasshopper/grasshopper_03s.jpg
169.5	0.5	exp	46	3	n/a	114.0	3.0	n/a	beer/beer_03s.jpg
174.0	0.5	exp	228	3	n/a	549.0	3.0	n/a	eggbeater/eggbeater_03s.jpg
178.5	0.5	catch	721	90	n/a	n/a	n/a	0.891	catch090.jpg
183.0	0.5	exp	170	3	n/a	410.0	3.0	n/a	cork/cork_03s.jpg
187.5	0.5	test	675	13	92.0	1742.0	13.0	n/a	typewriter/typewriter_13s.jpg
192.0	0.5	exp	143	3	n/a	333.0	3.0	n/a	chinchilla/chinchilla_03s.jpg
196.5	0.5	exp	528	3	n/a	1319.0	3.0	n/a	robot/robot_03n.jpg
201.0	0.5	exp	429	3	n/a	1072.0	3.0	n/a	odometer/odometer_03s.jpg
205.5	0.5	exp	374	3	n/a	940.0	3.0	n/a	lobster/lobster_03s.jpg
210.0	0.5	catch	721	26	n/a	n/a	n/a	1.224	catch026.jpg
214.5	0.5	exp	600	3	n/a	1542.0	3.0	n/a	starfish/starfish_03s.jpg
219.0	0.5	exp	349	3	n/a	885.0	3.0	n/a	koala/koala_03s.jpg
223.5	0.5	exp	24	3	n/a	50.0	3.0	n/a	backpack/backpack_03s.jpg
228.0	0.5	test	622	13	88.0	1607.0	13.0	n/a	t-shirt/t-shirt_13s.jpg
232.5	0.5	exp	538	3	n/a	1362.0	3.0	n/a	satellite_dish/satellite_dish_03s.jpg
237.0	0.5	exp	611	3	n/a	1579.0	3.0	n/a	subway/subway_03s.jpg
241.5	0.5	exp	320	3	n/a	800.0	3.0	n/a	horseshoe/horseshoe_03s.jpg
246.0	0.5	catch	721	29	n/a	n/a	n/a	1.064	catch029.jpg
250.5	0.5	exp	13	3	n/a	27.0	3.0	n/a	antelope/antelope_03n.jpg
255.0	0.5	exp	509	3	n/a	1275.0	3.0	n/a	radish/radish_03n.jpg
259.5	0.5	test	405	13	67.0	1018.0	18.0	n/a	monkey/monkey_18n.jpg
264.0	0.5	exp	107	3	n/a	246.0	3.0	n/a	camel/camel_03s.jpg
268.5	0.5	exp	601	3	n/a	1545.0	3.0	n/a	steak/steak_03s.jpg
273.0	0.5	exp	216	3	n/a	517.0	3.0	n/a	drawer/drawer_03s.jpg
277.5	0.5	exp	296	3	n/a	728.0	3.0	n/a	gun/gun_03s.jpg
282.0	0.5	test	328	13	55.0	826.0	20.0	n/a	iguana/iguana_20s.jpg
286.5	0.5	exp	706	3	n/a	1812.0	3.0	n/a	whisk/whisk_03s.jpg
291.0	0.5	exp	606	3	n/a	1564.0	3.0	n/a	stove1/stove1_03s.jpg
295.5	0.5	exp	712	3	n/a	1832.0	3.0	n/a	wolf/wolf_03s.jpg
300.0	0.5	catch	721	42	n/a	n/a	n/a	0.873	catch042.jpg
304.5	0.5	exp	259	3	n/a	634.0	3.0	n/a	footrest/footrest_03s.jpg
309.0	0.5	exp	501	3	n/a	1254.0	3.0	n/a	pumpkin/pumpkin_03s.jpg
313.5	0.5	exp	648	3	n/a	1671.0	3.0	n/a	toilet/toilet_03s.jpg
318.0	0.5	exp	193	3	n/a	462.0	3.0	n/a	cupcake/cupcake_03s.jpg
322.5	0.5	exp	665	3	n/a	1707.0	3.0	n/a	treadmill/treadmill_03s.jpg
327.0	0.5	exp	220	3	n/a	523.0	3.0	n/a	drum/drum_03n.jpg
331.5	0.5	exp	33	3	n/a	71.0	3.0	n/a	banner/banner_03s.jpg
336.0	0.5	exp	93	3	n/a	217.0	3.0	n/a	bullet/bullet_03s.jpg
340.5	0.5	exp	97	3	n/a	225.0	3.0	n/a	burner/burner_03s.jpg
345.0	0.5	catch	721	45	n/a	n/a	n/a	0.772	catch045.jpg
349.5	0.5	exp	682	3	n/a	1754.0	3.0	n/a	vase/vase_03s.jpg
