onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	193	2	n/a	462.0	2.0	n/a	cupcake/cupcake_02s.jpg
7.5	0.5	exp	343	2	n/a	869.0	2.0	n/a	kettle/kettle_02s.jpg
12.0	0.5	exp	45	2	n/a	112.0	2.0	n/a	bee/bee_02s.jpg
16.5	0.5	exp	83	2	n/a	196.0	2.0	n/a	breadbox/breadbox_02s.jpg
21.0	0.5	exp	134	2	n/a	313.0	2.0	n/a	cheese/cheese_02s.jpg
25.5	0.5	exp	176	2	n/a	427.0	2.0	n/a	cow/cow_02s.jpg
30.0	0.5	exp	116	2	n/a	263.0	2.0	n/a	canoe/canoe_02s.jpg
34.5	0.5	exp	170	2	n/a	410.0	2.0	n/a	cork/cork_02s.jpg
39.0	0.5	exp	40	2	n/a	102.0	2.0	n/a	beaker/beaker_02s.jpg
43.5	0.5	exp	673	2	n/a	1739.0	2.0	n/a	tuxedo/tuxedo_02s.jpg
48.0	0.5	exp	218	2	n/a	520.0	2.0	n/a	dresser/dresser_02s.jpg
52.5	0.5	catch	721	98	n/a	n/a	n/a	0.722	catch098.jpg
57.0	0.5	exp	638	2	n/a	1648.0	2.0	n/a	thermos/thermos_02s.jpg
61.5	0.5	exp	141	2	n/a	328.0	2.0	n/a	chili/chili_02s.jpg
66.0	0.5	exp	174	2	n/a	423.0	2.0	n/a	couch/couch_02s.jpg
70.5	0.5	exp	396	2	n/a	995.0	2.0	n/a	melon/melon_02s.jpg
75.0	0.5	exp	460	2	n/a	1159.0	2.0	n/a	petal/petal_02s.jpg
79.5	0.5	catch	721	75	n/a	n/a	n/a	0.772	catch075.jpg
84.0	0.5	exp	275	2	n/a	684.0	2.0	n/a	goalpost/goalpost_02s.jpg
88.5	0.5	test	622	13	88.0	1607.0	13.0	n/a	t-shirt/t-shirt_13s.jpg
93.0	0.5	catch	721	81	n/a	n/a	n/a	0.911	catch081.jpg
97.5	0.5	exp	715	2	n/a	1837.0	2.0	n/a	worm/worm_02s.jpg
102.0	0.5	test	675	13	92.0	1742.0	13.0	n/a	typewriter/typewriter_13s.jpg
106.5	0.5	exp	420	2	n/a	1055.0	2.0	n/a	necklace/necklace_02s.jpg
111.0	0.5	exp	692	2	n/a	1779.0	2.0	n/a	walnut/walnut_02s.jpg
115.5	0.5	test	566	13	82.0	1447.0	13.0	n/a	sim/sim_card_13s.jpg
120.0	0.5	exp	26	2	n/a	56.0	2.0	n/a	bagel/bagel_02n.jpg
124.5	0.5	exp	60	2	n/a	138.0	2.0	n/a	blazer/blazer_02s.jpg
129.0	0.5	exp	681	2	n/a	1752.0	2.0	n/a	valve/valve_02s.jpg
133.5	0.5	exp	122	2	n/a	282.0	2.0	n/a	cashew/cashew_02s.jpg
138.0	0.5	exp	421	2	n/a	1056.0	2.0	n/a	needle/needle_02s.jpg
142.5	0.5	exp	398	2	n/a	1000.0	2.0	n/a	microscope/microscope_02s.jpg
147.0	0.5	test	677	13	93.0	1744.0	13.0	n/a	umbrella/umbrella_13s.jpg
151.5	0.5	exp	61	2	n/a	139.0	2.0	n/a	blender/blender_02s.jpg
156.0	0.5	exp	30	2	n/a	64.0	2.0	n/a	banana/banana_02s.jpg
160.5	0.5	exp	584	2	n/a	1501.0	2.0	n/a	soy_sauce/soy_sauce_02s.jpg
165.0	0.5	test	505	13	78.0	1266.0	13.0	n/a	rabbit/rabbit_13n.jpg
169.5	0.5	exp	85	2	n/a	202.0	2.0	n/a	broccoli/broccoli_02s.jpg
174.0	0.5	exp	236	2	n/a	569.0	2.0	n/a	eyepiece/eyepiece_02s.jpg
178.5	0.5	exp	410	2	n/a	1024.0	2.0	n/a	moth/moth_02n.jpg
183.0	0.5	catch	721	23	n/a	n/a	n/a	0.871	catch023.jpg
187.5	0.5	exp	567	2	n/a	1448.0	2.0	n/a	sink/sink_02s.jpg
192.0	0.5	exp	27	2	n/a	60.0	2.0	n/a	ball/ball_02s.jpg
196.5	0.5	exp	351	2	n/a	888.0	2.0	n/a	ladle/ladle_02s.jpg
201.0	0.5	exp	214	2	n/a	515.0	2.0	n/a	dragonfly/dragonfly_02s.jpg
205.5	0.5	exp	658	2	n/a	1693.0	2.0	n/a	towel/towel_02s.jpg
210.0	0.5	exp	297	2	n/a	735.0	2.0	n/a	hairbrush/hairbrush_02s.jpg
214.5	0.5	exp	700	2	n/a	1798.0	2.0	n/a	weasel/weasel_02s.jpg
219.0	0.5	exp	353	2	n/a	894.0	2.0	n/a	lampshade/lampshade_02s.jpg
223.5	0.5	exp	296	2	n/a	728.0	2.0	n/a	gun/gun_02s.jpg
228.0	0.5	exp	470	2	n/a	1185.0	2.0	n/a	ping-pong_table/ping-pong_table_02s.jpg
232.5	0.5	exp	16	2	n/a	31.0	2.0	n/a	apple/apple_02s.jpg
237.0	0.5	test	588	13	83.0	1510.0	16.0	n/a	speaker/speaker_16s.jpg
241.5	0.5	exp	425	2	n/a	1064.0	2.0	n/a	nose/nose_02s.jpg
246.0	0.5	exp	165	2	n/a	396.0	2.0	n/a	computer_screen/computer_screen_02s.jpg
250.5	0.5	catch	721	96	n/a	n/a	n/a	0.885	catch096.jpg
255.0	0.5	exp	336	2	n/a	847.0	2.0	n/a	jersey/jersey_02s.jpg
259.5	0.5	exp	169	2	n/a	406.0	2.0	n/a	copier/copier_02s.jpg
264.0	0.5	exp	390	2	n/a	981.0	2.0	n/a	mask/mask_02s.jpg
268.5	0.5	exp	416	2	n/a	1041.0	2.0	n/a	mushroom/mushroom_02n.jpg
273.0	0.5	exp	602	2	n/a	1546.0	2.0	n/a	steamroller/steamroller_02n.jpg
277.5	0.5	exp	381	2	n/a	964.0	2.0	n/a	man/man_02s.jpg
282.0	0.5	catch	721	35	n/a	n/a	n/a	0.867	catch035.jpg
286.5	0.5	test	325	13	54.0	811.0	16.0	n/a	hula/hula_hoop_16s.jpg
291.0	0.5	exp	647	2	n/a	1667.0	2.0	n/a	toaster/toaster_02s.jpg
295.5	0.5	exp	114	2	n/a	259.0	2.0	n/a	cane/cane_02s.jpg
300.0	0.5	exp	696	2	n/a	1783.0	2.0	n/a	washboard/washboard_02s.jpg
304.5	0.5	exp	677	2	n/a	1744.0	2.0	n/a	umbrella/umbrella_02s.jpg
309.0	0.5	catch	721	86	n/a	n/a	n/a	0.711	catch086.jpg
313.5	0.5	exp	592	2	n/a	1521.0	2.0	n/a	spout/spout_02s.jpg
318.0	0.5	exp	88	2	n/a	206.0	2.0	n/a	brush/brush_02s.jpg
322.5	0.5	exp	137	2	n/a	318.0	2.0	n/a	chess_piece/chess_piece_02s.jpg
327.0	0.5	catch	721	58	n/a	n/a	n/a	0.889	catch058.jpg
331.5	0.5	exp	512	2	n/a	1285.0	2.0	n/a	raspberry/raspberry_02n.jpg
336.0	0.5	exp	440	2	n/a	1104.0	2.0	n/a	pan/pan_02s.jpg
340.5	0.5	exp	452	2	n/a	1132.0	2.0	n/a	peanut/peanut_02n.jpg
345.0	0.5	catch	721	91	n/a	n/a	n/a	0.895	catch091.jpg
