onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	test	168	13	28.0	401.0	15.0	n/a	cookie/cookie_15s.jpg
7.5	0.5	exp	637	2	n/a	1647.0	2.0	n/a	thermometer/thermometer_02s.jpg
12.0	0.5	catch	721	77	n/a	n/a	n/a	0.947	catch077.jpg
16.5	0.5	exp	175	2	n/a	426.0	2.0	n/a	coverall/coverall_02s.jpg
21.0	0.5	exp	124	2	n/a	285.0	2.0	n/a	cat/cat_02s.jpg
25.5	0.5	catch	721	56	n/a	n/a	n/a	0.719	catch056.jpg
30.0	0.5	exp	465	2	n/a	1171.0	2.0	n/a	pig/pig_02s.jpg
34.5	0.5	exp	399	2	n/a	1002.0	2.0	n/a	milk/milk_02s.jpg
39.0	0.5	exp	526	2	n/a	1314.0	2.0	n/a	ring/ring_02s.jpg
43.5	0.5	exp	341	2	n/a	865.0	2.0	n/a	kazoo/kazoo_02s.jpg
48.0	0.5	exp	161	2	n/a	387.0	2.0	n/a	coleslaw/coleslaw_02n.jpg
52.5	0.5	exp	339	2	n/a	861.0	2.0	n/a	kale/kale_02s.jpg
57.0	0.5	exp	24	2	n/a	50.0	2.0	n/a	backpack/backpack_02s.jpg
61.5	0.5	exp	143	2	n/a	333.0	2.0	n/a	chinchilla/chinchilla_02s.jpg
66.0	0.5	exp	198	2	n/a	478.0	2.0	n/a	defibrillator/defibrillator_02s.jpg
70.5	0.5	exp	447	2	n/a	1119.0	2.0	n/a	parachute/parachute_02s.jpg
75.0	0.5	exp	221	2	n/a	535.0	2.0	n/a	duster/duster_02s.jpg
79.5	0.5	catch	721	43	n/a	n/a	n/a	0.887	catch043.jpg
84.0	0.5	exp	456	2	n/a	1143.0	2.0	n/a	pencil/pencil_02s.jpg
88.5	0.5	exp	495	2	n/a	1239.0	2.0	n/a	praying_mantis/praying_mantis_02s.jpg
93.0	0.5	exp	278	2	n/a	692.0	2.0	n/a	gondola/gondola_02s.jpg
97.5	0.5	exp	412	2	n/a	1027.0	2.0	n/a	mouse1/mouse1_02s.jpg
