onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	311	12	n/a	775.0	12.0	n/a	hedgehog/hedgehog_12s.jpg
7.5	0.5	exp	681	12	n/a	1752.0	12.0	n/a	valve/valve_12s.jpg
12.0	0.5	exp	265	12	n/a	658.0	12.0	n/a	gargoyle/gargoyle_12s.jpg
16.5	0.5	exp	421	12	n/a	1056.0	12.0	n/a	needle/needle_12s.jpg
21.0	0.5	exp	640	12	n/a	1650.0	12.0	n/a	thimble/thimble_12s.jpg
25.5	0.5	exp	452	12	n/a	1132.0	12.0	n/a	peanut/peanut_12s.jpg
30.0	0.5	exp	549	12	n/a	1396.0	12.0	n/a	seagull/seagull_12s.jpg
34.5	0.5	catch	721	74	n/a	n/a	n/a	0.691	catch074.jpg
39.0	0.5	test	68	13	16.0	155.0	14.0	n/a	boat/boat_14n.jpg
43.5	0.5	exp	98	12	n/a	226.0	12.0	n/a	burrito/burrito_12s.jpg
48.0	0.5	catch	721	18	n/a	n/a	n/a	0.693	catch018.jpg
52.5	0.5	exp	68	12	n/a	155.0	12.0	n/a	boat/boat_12s.jpg
57.0	0.5	exp	357	12	n/a	909.0	12.0	n/a	lectern/lectern_12s.jpg
61.5	0.5	test	138	13	24.0	320.0	14.0	n/a	chest1/chest1_14s.jpg
66.0	0.5	exp	179	12	n/a	434.0	12.0	n/a	crate/crate_12s.jpg
70.5	0.5	exp	492	12	n/a	1232.0	12.0	n/a	potato/potato_12s.jpg
75.0	0.5	exp	655	12	n/a	1688.0	12.0	n/a	tortilla/tortilla_12s.jpg
79.5	0.5	exp	281	12	n/a	701.0	12.0	n/a	granite/granite_12s.jpg
84.0	0.5	exp	703	12	n/a	1808.0	12.0	n/a	wheelbarrow/wheelbarrow_12s.jpg
88.5	0.5	test	181	13	31.0	436.0	15.0	n/a	crayon/crayon_15s.jpg
93.0	0.5	exp	207	12	n/a	501.0	12.0	n/a	dollhouse/dollhouse_12s.jpg
