onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	615	2	n/a	1587.0	2.0	n/a	sunroof/sunroof_02s.jpg
7.5	0.5	exp	56	2	n/a	132.0	2.0	n/a	birdhouse/birdhouse_02s.jpg
12.0	0.5	exp	357	2	n/a	909.0	2.0	n/a	lectern/lectern_02s.jpg
16.5	0.5	catch	721	38	n/a	n/a	n/a	0.844	catch038.jpg
21.0	0.5	test	5	13	1.0	13.0	14.0	n/a	alligator/alligator_14n.jpg
25.5	0.5	exp	686	2	n/a	1765.0	2.0	n/a	violin/violin_02s.jpg
30.0	0.5	catch	721	5	n/a	n/a	n/a	n/a	catch005.jpg
34.5	0.5	exp	616	2	n/a	1589.0	2.0	n/a	sushi/sushi_02s.jpg
39.0	0.5	exp	64	2	n/a	149.0	2.0	n/a	blowtorch/blowtorch_02s.jpg
43.5	0.5	exp	90	2	n/a	210.0	2.0	n/a	bucket/bucket_02n.jpg
48.0	0.5	exp	628	2	n/a	1617.0	2.0	n/a	tag/tag_02s.jpg
52.5	0.5	exp	493	2	n/a	1234.0	2.0	n/a	pothole/pothole_02s.jpg
57.0	0.5	exp	685	2	n/a	1764.0	2.0	n/a	viewfinder/viewfinder_02s.jpg
61.5	0.5	exp	46	2	n/a	114.0	2.0	n/a	beer/beer_02s.jpg
66.0	0.5	exp	150	2	n/a	353.0	2.0	2.691	clay/clay_02s.jpg
70.5	0.5	exp	688	2	n/a	1774.0	2.0	n/a	walker1/walker1_02s.jpg
75.0	0.5	exp	285	2	n/a	707.0	2.0	n/a	grasshopper/grasshopper_02s.jpg
79.5	0.5	exp	273	2	n/a	678.0	2.0	n/a	glass/glass_02s.jpg
84.0	0.5	catch	721	47	n/a	n/a	n/a	1.006	catch047.jpg
88.5	0.5	exp	245	2	n/a	591.0	2.0	n/a	fire/fire_02s.jpg
93.0	0.5	exp	588	2	n/a	1510.0	2.0	n/a	speaker/speaker_02s.jpg
97.5	0.5	catch	721	78	n/a	n/a	n/a	1.202	catch078.jpg
102.0	0.5	exp	52	2	n/a	124.0	2.0	n/a	bike/bike_02s.jpg
106.5	0.5	exp	270	2	n/a	670.0	2.0	n/a	gel/gel_02s.jpg
111.0	0.5	exp	70	2	n/a	160.0	2.0	n/a	bolt/bolt_02s.jpg
115.5	0.5	catch	721	42	n/a	n/a	n/a	n/a	catch042.jpg
120.0	0.5	test	50	13	12.0	121.0	16.0	n/a	bench/bench_16n.jpg
124.5	0.5	exp	523	2	n/a	1309.0	2.0	n/a	ribbon/ribbon_02s.jpg
129.0	0.5	exp	601	2	n/a	1545.0	2.0	n/a	steak/steak_02s.jpg
133.5	0.5	exp	680	2	n/a	1749.0	2.0	n/a	urinal/urinal_02s.jpg
138.0	0.5	exp	129	2	n/a	301.0	2.0	n/a	chair/chair_02s.jpg
142.5	0.5	test	46	13	11.0	114.0	14.0	n/a	beer/beer_14s.jpg
147.0	0.5	exp	149	2	n/a	351.0	2.0	n/a	clarinet/clarinet_02n.jpg
151.5	0.5	exp	349	2	n/a	885.0	2.0	n/a	koala/koala_02s.jpg
156.0	0.5	exp	298	2	n/a	738.0	2.0	n/a	hairpin/hairpin_02s.jpg
160.5	0.5	exp	563	2	n/a	1439.0	2.0	n/a	shrimp/shrimp_02s.jpg
165.0	0.5	exp	328	2	n/a	826.0	2.0	n/a	iguana/iguana_02s.jpg
169.5	0.5	test	562	13	81.0	1438.0	13.0	n/a	shredder/shredder_13s.jpg
174.0	0.5	exp	551	2	n/a	1407.0	2.0	n/a	sewing_kit/sewing_kit_02s.jpg
178.5	0.5	test	319	13	51.0	799.0	17.0	n/a	horse/horse_17s.jpg
183.0	0.5	catch	721	62	n/a	n/a	n/a	0.631	catch062.jpg
