onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	178	4	n/a	433.0	4.0	n/a	crank/crank_04s.jpg
7.5	0.5	exp	573	4	n/a	1474.0	4.0	n/a	smoke_alarm/smoke_alarm_04s.jpg
12.0	0.5	exp	716	4	n/a	1839.0	4.0	n/a	wrapping_paper/wrapping_paper_04s.jpg
16.5	0.5	exp	136	4	n/a	317.0	4.0	n/a	cherry/cherry_04n.jpg
21.0	0.5	exp	52	4	n/a	124.0	4.0	n/a	bike/bike_04s.jpg
25.5	0.5	catch	721	96	n/a	n/a	n/a	0.655	catch096.jpg
30.0	0.5	exp	580	4	n/a	1492.0	4.0	n/a	soda_fountain/soda_fountain_04s.jpg
34.5	0.5	exp	672	4	n/a	1737.0	4.0	n/a	turtle/turtle_04s.jpg
39.0	0.5	exp	60	4	n/a	138.0	4.0	n/a	blazer/blazer_04s.jpg
43.5	0.5	catch	721	48	n/a	n/a	n/a	0.599	catch048.jpg
48.0	0.5	exp	423	4	n/a	1058.0	4.0	n/a	net/net_04s.jpg
52.5	0.5	exp	90	4	n/a	210.0	4.0	n/a	bucket/bucket_04s.jpg
57.0	0.5	exp	392	4	n/a	984.0	4.0	n/a	match/match_04s.jpg
61.5	0.5	test	677	13	93.0	1744.0	13.0	n/a	umbrella/umbrella_13s.jpg
66.0	0.5	catch	721	70	n/a	n/a	n/a	0.763	catch070.jpg
70.5	0.5	exp	473	4	n/a	1193.0	4.0	n/a	pizza/pizza_04s.jpg
75.0	0.5	exp	552	4	n/a	1411.0	4.0	n/a	shaving_cream/shaving_cream_04s.jpg
79.5	0.5	exp	508	4	n/a	1273.0	4.0	n/a	radiator/radiator_04s.jpg
84.0	0.5	exp	616	4	n/a	1589.0	4.0	n/a	sushi/sushi_04s.jpg
88.5	0.5	exp	598	4	n/a	1537.0	4.0	n/a	stamp2/stamp2_04s.jpg
93.0	0.5	exp	713	4	n/a	1833.0	4.0	n/a	woman/woman_04s.jpg
97.5	0.5	exp	96	4	n/a	223.0	4.0	n/a	bunkbed/bunkbed_04s.jpg
102.0	0.5	exp	290	4	n/a	718.0	4.0	n/a	grits/grits_04s.jpg
106.5	0.5	exp	653	4	n/a	1678.0	4.0	n/a	toolbox/toolbox_04s.jpg
111.0	0.5	exp	270	4	n/a	670.0	4.0	n/a	gel/gel_04s.jpg
115.5	0.5	test	155	13	27.0	371.0	13.0	n/a	coat/coat_rack_13s.jpg
120.0	0.5	catch	721	47	n/a	n/a	n/a	0.592	catch047.jpg
124.5	0.5	exp	327	4	n/a	825.0	4.0	n/a	icicle/icicle_04s.jpg
129.0	0.5	exp	711	4	n/a	1830.0	4.0	n/a	wire_cutters/wire_cutters_04s.jpg
133.5	0.5	exp	391	4	n/a	982.0	4.0	n/a	mast/mast_04s.jpg
138.0	0.5	exp	323	4	n/a	808.0	4.0	n/a	hourglass/hourglass_04s.jpg
142.5	0.5	exp	657	4	n/a	1692.0	4.0	n/a	touchpad/touchpad_04s.jpg
147.0	0.5	exp	626	4	n/a	1614.0	4.0	n/a	taco/taco_04s.jpg
151.5	0.5	exp	442	4	n/a	1106.0	4.0	n/a	panda/panda_04s.jpg
156.0	0.5	exp	398	4	n/a	1000.0	4.0	n/a	microscope/microscope_04s.jpg
160.5	0.5	test	600	13	86.0	1542.0	15.0	n/a	starfish/starfish_15n.jpg
165.0	0.5	catch	721	3	n/a	n/a	n/a	0.892	catch003.jpg
169.5	0.5	exp	715	4	n/a	1837.0	4.0	n/a	worm/worm_04n.jpg
174.0	0.5	test	388	13	65.0	978.0	13.0	n/a	marshmallow/marshmallow_13s.jpg
178.5	0.5	exp	441	4	n/a	1105.0	4.0	n/a	pancake/pancake_04s.jpg
183.0	0.5	exp	594	4	n/a	1528.0	4.0	n/a	squeegee/squeegee_04s.jpg
187.5	0.5	test	214	13	35.0	515.0	13.0	n/a	dragonfly/dragonfly_13s.jpg
192.0	0.5	catch	721	26	n/a	n/a	n/a	0.61	catch026.jpg
196.5	0.5	exp	154	4	n/a	370.0	4.0	n/a	coat/coat_04s.jpg
201.0	0.5	exp	562	4	n/a	1438.0	4.0	n/a	shredder/shredder_04s.jpg
205.5	0.5	catch	721	67	n/a	n/a	n/a	0.608	catch067.jpg
210.0	0.5	test	258	13	42.0	633.0	15.0	n/a	footprint/footprint_15s.jpg
214.5	0.5	test	178	13	30.0	433.0	16.0	n/a	crank/crank_16s.jpg
219.0	0.5	exp	158	4	n/a	381.0	4.0	n/a	coffee_pot/coffee_pot_04s.jpg
223.5	0.5	exp	279	4	n/a	698.0	4.0	n/a	graffiti/graffiti_04s.jpg
228.0	0.5	exp	459	4	n/a	1151.0	4.0	n/a	pepper1/pepper1_04s.jpg
232.5	0.5	catch	721	29	n/a	n/a	n/a	0.81	catch029.jpg
237.0	0.5	exp	382	4	n/a	965.0	4.0	n/a	manatee/manatee_04s.jpg
241.5	0.5	exp	65	4	n/a	150.0	4.0	n/a	blueberry/blueberry_04n.jpg
246.0	0.5	exp	68	4	n/a	155.0	4.0	n/a	boat/boat_04s.jpg
250.5	0.5	exp	661	4	n/a	1699.0	4.0	n/a	train/train_04s.jpg
255.0	0.5	exp	606	4	n/a	1564.0	4.0	n/a	stove1/stove1_04s.jpg
