onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	172	7	n/a	413.0	7.0	n/a	corn/corn_07s.jpg
7.5	0.5	exp	682	7	n/a	1754.0	7.0	n/a	vase/vase_07s.jpg
12.0	0.5	exp	70	7	n/a	160.0	7.0	n/a	bolt/bolt_07n.jpg
16.5	0.5	exp	350	7	n/a	887.0	7.0	n/a	ladder/ladder_07s.jpg
21.0	0.5	exp	195	7	n/a	469.0	7.0	n/a	cymbal/cymbal_07s.jpg
25.5	0.5	exp	574	7	n/a	1477.0	7.0	n/a	snail/snail_07s.jpg
30.0	0.5	exp	678	7	n/a	1745.0	7.0	n/a	undershirt/undershirt_07s.jpg
34.5	0.5	exp	58	7	n/a	136.0	7.0	n/a	blackberry/blackberry_07s.jpg
39.0	0.5	exp	137	7	n/a	318.0	7.0	n/a	chess_piece/chess_piece_07s.jpg
43.5	0.5	exp	588	7	n/a	1510.0	7.0	n/a	speaker/speaker_07s.jpg
48.0	0.5	exp	408	7	n/a	1021.0	7.0	n/a	mosquito/mosquito_07s.jpg
52.5	0.5	catch	721	83	n/a	n/a	n/a	0.753	catch083.jpg
57.0	0.5	exp	44	7	n/a	109.0	7.0	n/a	bed/bed_07n.jpg
61.5	0.5	exp	228	7	n/a	549.0	7.0	n/a	eggbeater/eggbeater_07s.jpg
66.0	0.5	exp	551	7	n/a	1407.0	7.0	n/a	sewing_kit/sewing_kit_07s.jpg
70.5	0.5	exp	360	7	n/a	914.0	7.0	n/a	lego/lego_07s.jpg
75.0	0.5	exp	558	7	n/a	1424.0	7.0	n/a	shoe/shoe_07s.jpg
79.5	0.5	exp	100	7	n/a	230.0	7.0	n/a	butterfly/butterfly_07s.jpg
84.0	0.5	exp	188	7	n/a	453.0	7.0	n/a	crutch/crutch_07s.jpg
88.5	0.5	test	145	13	25.0	335.0	16.0	n/a	chipmunk/chipmunk_16n.jpg
93.0	0.5	exp	458	7	n/a	1146.0	7.0	n/a	penguin/penguin_07s.jpg
97.5	0.5	catch	721	79	n/a	n/a	n/a	0.667	catch079.jpg
