onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	24	9	n/a	50.0	9.0	n/a	backpack/backpack_09s.jpg
7.5	0.5	exp	243	9	n/a	582.0	9.0	n/a	fig/fig_09n.jpg
12.0	0.5	exp	408	9	n/a	1021.0	9.0	n/a	mosquito/mosquito_09s.jpg
16.5	0.5	exp	212	9	n/a	512.0	9.0	n/a	doormat/doormat_09s.jpg
21.0	0.5	exp	667	9	n/a	1710.0	9.0	n/a	tree_trunk/tree_trunk_09s.jpg
25.5	0.5	exp	76	9	n/a	183.0	9.0	n/a	boxer_shorts/boxer_shorts_09s.jpg
30.0	0.5	catch	721	64	n/a	n/a	n/a	0.774	catch064.jpg
34.5	0.5	exp	654	9	n/a	1682.0	9.0	n/a	toothpick/toothpick_09s.jpg
39.0	0.5	test	5	13	1.0	13.0	14.0	n/a	alligator/alligator_14n.jpg
43.5	0.5	catch	721	74	n/a	n/a	n/a	0.837	catch074.jpg
48.0	0.5	exp	496	9	n/a	1240.0	9.0	n/a	pretzel/pretzel_09s.jpg
52.5	0.5	exp	237	9	n/a	570.0	9.0	n/a	face/face_09s.jpg
57.0	0.5	exp	34	9	n/a	76.0	9.0	n/a	barnacle/barnacle_09s.jpg
61.5	0.5	test	705	13	99.0	1810.0	14.0	n/a	whip/whip_14s.jpg
66.0	0.5	exp	650	9	n/a	1673.0	9.0	n/a	tomato/tomato_09n.jpg
70.5	0.5	exp	320	9	n/a	800.0	9.0	n/a	horseshoe/horseshoe_09s.jpg
75.0	0.5	exp	297	9	n/a	735.0	9.0	n/a	hairbrush/hairbrush_09s.jpg
79.5	0.5	exp	493	9	n/a	1234.0	9.0	n/a	pothole/pothole_09s.jpg
84.0	0.5	exp	93	9	n/a	217.0	9.0	n/a	bullet/bullet_09s.jpg
88.5	0.5	test	178	13	30.0	433.0	16.0	n/a	crank/crank_16s.jpg
93.0	0.5	test	462	13	75.0	1166.0	13.0	n/a	piano/piano_13n.jpg
97.5	0.5	exp	592	9	n/a	1521.0	9.0	n/a	spout/spout_09s.jpg
102.0	0.5	exp	456	9	n/a	1143.0	9.0	n/a	pencil/pencil_09s.jpg
106.5	0.5	exp	83	9	n/a	196.0	9.0	n/a	breadbox/breadbox_09s.jpg
111.0	0.5	exp	545	9	n/a	1384.0	9.0	n/a	scoreboard/scoreboard_09n.jpg
115.5	0.5	catch	721	65	n/a	n/a	n/a	0.934	catch065.jpg
120.0	0.5	exp	627	9	n/a	1615.0	9.0	n/a	tadpole/tadpole_09s.jpg
124.5	0.5	exp	10	9	n/a	24.0	9.0	n/a	anklet/anklet_09s.jpg
129.0	0.5	exp	566	9	n/a	1447.0	9.0	n/a	sim_card/sim_card_09s.jpg
133.5	0.5	exp	276	9	n/a	685.0	9.0	n/a	goat/goat_09s.jpg
138.0	0.5	catch	721	46	n/a	n/a	n/a	0.711	catch046.jpg
142.5	0.5	exp	81	9	n/a	190.0	9.0	n/a	bracket/bracket_09s.jpg
147.0	0.5	exp	467	9	n/a	1175.0	9.0	n/a	pill/pill_09s.jpg
151.5	0.5	catch	721	99	n/a	n/a	n/a	0.814	catch099.jpg
156.0	0.5	exp	36	9	n/a	83.0	9.0	n/a	basket/basket_09s.jpg
160.5	0.5	exp	395	9	n/a	990.0	9.0	n/a	meatball/meatball_09s.jpg
165.0	0.5	exp	136	9	n/a	317.0	9.0	n/a	cherry/cherry_09s.jpg
169.5	0.5	catch	721	45	n/a	n/a	n/a	0.79	catch045.jpg
174.0	0.5	exp	409	9	n/a	1022.0	9.0	n/a	mosquito_net/mosquito_net_09s.jpg
178.5	0.5	exp	423	9	n/a	1058.0	9.0	n/a	net/net_09s.jpg
183.0	0.5	exp	444	9	n/a	1112.0	9.0	n/a	papaya/papaya_09s.jpg
187.5	0.5	exp	16	9	n/a	31.0	9.0	n/a	apple/apple_09s.jpg
