onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	427	5	n/a	1070.0	5.0	n/a	oatmeal/oatmeal_05s.jpg
7.5	0.5	exp	169	5	n/a	406.0	5.0	n/a	copier/copier_05s.jpg
12.0	0.5	test	50	13	12.0	121.0	16.0	n/a	bench/bench_16n.jpg
16.5	0.5	exp	95	5	n/a	222.0	5.0	n/a	bungee/bungee_05s.jpg
21.0	0.5	exp	634	5	n/a	1641.0	5.0	n/a	telescope/telescope_05n.jpg
25.5	0.5	test	312	13	49.0	776.0	25.0	n/a	helicopter/helicopter_25s.jpg
30.0	0.5	exp	371	5	n/a	935.0	5.0	n/a	lip_balm/lip_balm_05s.jpg
34.5	0.5	exp	498	5	n/a	1243.0	5.0	n/a	projector/projector_05s.jpg
39.0	0.5	exp	484	5	n/a	1219.0	5.0	n/a	pom-pom/pom-pom_05s.jpg
43.5	0.5	exp	547	5	n/a	1392.0	5.0	n/a	screwdriver/screwdriver_05s.jpg
48.0	0.5	exp	91	5	n/a	214.0	5.0	n/a	buggy/buggy_05s.jpg
52.5	0.5	exp	386	5	n/a	971.0	5.0	n/a	map/map_05s.jpg
57.0	0.5	exp	401	5	n/a	1006.0	5.0	n/a	mirror/mirror_05s.jpg
61.5	0.5	exp	50	5	n/a	121.0	5.0	n/a	bench/bench_05s.jpg
66.0	0.5	catch	721	23	n/a	n/a	n/a	n/a	catch023.jpg
70.5	0.5	exp	229	5	n/a	551.0	5.0	n/a	eggplant/eggplant_05n.jpg
75.0	0.5	exp	132	5	n/a	304.0	5.0	n/a	chalkboard/chalkboard_05s.jpg
79.5	0.5	exp	468	5	n/a	1177.0	5.0	n/a	pillow/pillow_05s.jpg
84.0	0.5	exp	200	5	n/a	486.0	5.0	n/a	diaper/diaper_05s.jpg
88.5	0.5	exp	110	5	n/a	253.0	5.0	n/a	candelabra/candelabra_05s.jpg
93.0	0.5	exp	374	5	n/a	940.0	5.0	n/a	lobster/lobster_05s.jpg
97.5	0.5	exp	636	5	n/a	1644.0	5.0	n/a	tent/tent_05n.jpg
102.0	0.5	exp	161	5	n/a	387.0	5.0	n/a	coleslaw/coleslaw_05s.jpg
106.5	0.5	test	258	13	42.0	633.0	15.0	n/a	footprint/footprint_15s.jpg
111.0	0.5	exp	450	5	n/a	1129.0	5.0	n/a	pea/pea_05s.jpg
115.5	0.5	exp	207	5	n/a	501.0	5.0	n/a	dollhouse/dollhouse_05s.jpg
