onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	591	5	n/a	1520.0	5.0	n/a	spoon/spoon_05n.jpg
7.5	0.5	exp	475	5	n/a	1198.0	5.0	n/a	plate/plate_05s.jpg
12.0	0.5	exp	358	5	n/a	911.0	5.0	n/a	leek/leek_05s.jpg
16.5	0.5	exp	423	5	n/a	1058.0	5.0	n/a	net/net_05s.jpg
21.0	0.5	catch	721	57	n/a	n/a	n/a	0.593	catch057.jpg
25.5	0.5	exp	86	5	n/a	204.0	5.0	n/a	broom/broom_05s.jpg
30.0	0.5	exp	58	5	n/a	136.0	5.0	n/a	blackberry/blackberry_05s.jpg
34.5	0.5	exp	12	5	n/a	26.0	5.0	n/a	anteater/anteater_05s.jpg
39.0	0.5	exp	317	5	n/a	790.0	5.0	n/a	honeycomb/honeycomb_05s.jpg
43.5	0.5	exp	609	5	n/a	1572.0	5.0	n/a	streetlight/streetlight_05s.jpg
48.0	0.5	exp	455	5	n/a	1139.0	5.0	n/a	peeler/peeler_05s.jpg
52.5	0.5	exp	519	5	n/a	1304.0	5.0	n/a	retainer/retainer_05s.jpg
57.0	0.5	exp	135	5	n/a	316.0	5.0	n/a	cheetah/cheetah_05s.jpg
61.5	0.5	exp	353	5	n/a	894.0	5.0	n/a	lampshade/lampshade_05s.jpg
66.0	0.5	exp	380	5	n/a	961.0	5.0	n/a	mailbox/mailbox_05s.jpg
70.5	0.5	exp	13	5	n/a	27.0	5.0	n/a	antelope/antelope_05n.jpg
75.0	0.5	exp	471	5	n/a	1186.0	5.0	n/a	pinwheel/pinwheel_05s.jpg
79.5	0.5	exp	487	5	n/a	1226.0	5.0	n/a	popsicle/popsicle_05s.jpg
84.0	0.5	exp	224	5	n/a	542.0	5.0	n/a	earwig/earwig_05s.jpg
88.5	0.5	exp	138	5	n/a	320.0	5.0	n/a	chest1/chest1_05s.jpg
93.0	0.5	exp	557	5	n/a	1423.0	5.0	n/a	shirt/shirt_05s.jpg
97.5	0.5	exp	20	5	n/a	43.0	5.0	n/a	asparagus/asparagus_05n.jpg
102.0	0.5	exp	162	5	n/a	390.0	5.0	n/a	comb/comb_05s.jpg
106.5	0.5	exp	481	5	n/a	1208.0	5.0	n/a	pocketknife/pocketknife_05s.jpg
111.0	0.5	catch	721	62	n/a	n/a	n/a	0.575	catch062.jpg
115.5	0.5	test	679	13	94.0	1748.0	14.0	n/a	uniform/uniform_14s.jpg
120.0	0.5	exp	600	5	n/a	1542.0	5.0	n/a	starfish/starfish_05s.jpg
