onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	456	6	n/a	1143.0	6.0	n/a	pencil/pencil_06n.jpg
7.5	0.5	exp	588	6	n/a	1510.0	6.0	n/a	speaker/speaker_06s.jpg
12.0	0.5	exp	233	6	n/a	559.0	6.0	n/a	envelope/envelope_06s.jpg
16.5	0.5	exp	53	6	n/a	128.0	6.0	n/a	binoculars/binoculars_06s.jpg
21.0	0.5	exp	198	6	n/a	478.0	6.0	n/a	defibrillator/defibrillator_06s.jpg
25.5	0.5	exp	300	6	n/a	742.0	6.0	n/a	hammer/hammer_06s.jpg
30.0	0.5	catch	721	18	n/a	n/a	n/a	0.734	catch018.jpg
34.5	0.5	exp	86	6	n/a	204.0	6.0	n/a	broom/broom_06s.jpg
39.0	0.5	exp	360	6	n/a	914.0	6.0	n/a	lego/lego_06s.jpg
43.5	0.5	catch	721	100	n/a	n/a	n/a	0.726	catch100.jpg
48.0	0.5	exp	442	6	n/a	1106.0	6.0	n/a	panda/panda_06s.jpg
52.5	0.5	exp	333	6	n/a	841.0	6.0	n/a	jar/jar_06s.jpg
57.0	0.5	exp	319	6	n/a	799.0	6.0	n/a	horse/horse_06s.jpg
61.5	0.5	exp	410	6	n/a	1024.0	6.0	n/a	moth/moth_06n.jpg
66.0	0.5	exp	184	6	n/a	443.0	6.0	n/a	croissant/croissant_06s.jpg
70.5	0.5	exp	336	6	n/a	847.0	6.0	n/a	jersey/jersey_06s.jpg
75.0	0.5	exp	425	6	n/a	1064.0	6.0	n/a	nose/nose_06s.jpg
79.5	0.5	test	168	13	28.0	401.0	15.0	n/a	cookie/cookie_15s.jpg
84.0	0.5	exp	190	6	n/a	458.0	6.0	n/a	cucumber/cucumber_06s.jpg
88.5	0.5	exp	17	6	n/a	33.0	6.0	n/a	applesauce/applesauce_06s.jpg
93.0	0.5	exp	335	6	n/a	846.0	6.0	n/a	jellyfish/jellyfish_06s.jpg
97.5	0.5	test	286	13	46.0	708.0	13.0	n/a	grate/grate_13s.jpg
102.0	0.5	exp	121	6	n/a	278.0	6.0	n/a	carrot/carrot_06n.jpg
106.5	0.5	catch	721	85	n/a	n/a	n/a	0.793	catch085.jpg
111.0	0.5	exp	596	6	n/a	1533.0	6.0	n/a	stair/stair_06s.jpg
115.5	0.5	exp	529	6	n/a	1322.0	6.0	n/a	rocking_chair/rocking_chair_06s.jpg
120.0	0.5	test	332	13	56.0	840.0	15.0	n/a	jam/jam_15s.jpg
124.5	0.5	exp	230	6	n/a	553.0	6.0	n/a	elbow/elbow_06s.jpg
129.0	0.5	exp	76	6	n/a	183.0	6.0	n/a	boxer_shorts/boxer_shorts_06s.jpg
133.5	0.5	exp	654	6	n/a	1682.0	6.0	n/a	toothpick/toothpick_06s.jpg
138.0	0.5	exp	620	6	n/a	1605.0	6.0	n/a	syringe/syringe_06s.jpg
142.5	0.5	catch	721	4	n/a	n/a	n/a	0.638	catch004.jpg
147.0	0.5	exp	641	6	n/a	1655.0	6.0	n/a	thumbtack/thumbtack_06s.jpg
151.5	0.5	exp	361	6	n/a	915.0	6.0	n/a	lemon/lemon_06s.jpg
