onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	337	8	n/a	853.0	8.0	n/a	joystick/joystick_08s.jpg
7.5	0.5	exp	552	8	n/a	1411.0	8.0	n/a	shaving_cream/shaving_cream_08s.jpg
12.0	0.5	exp	401	8	n/a	1006.0	8.0	n/a	mirror/mirror_08s.jpg
16.5	0.5	exp	622	8	n/a	1607.0	8.0	n/a	t-shirt/t-shirt_08s.jpg
21.0	0.5	test	707	13	100.0	1817.0	13.0	n/a	wig/wig_13s.jpg
25.5	0.5	exp	525	8	n/a	1312.0	8.0	n/a	rifle/rifle_08s.jpg
30.0	0.5	exp	136	8	n/a	317.0	8.0	n/a	cherry/cherry_08s.jpg
34.5	0.5	exp	406	8	n/a	1019.0	8.0	n/a	moose/moose_08s.jpg
39.0	0.5	exp	240	8	n/a	578.0	8.0	n/a	fern/fern_08s.jpg
43.5	0.5	exp	369	8	n/a	933.0	8.0	n/a	lingerie/lingerie_08s.jpg
48.0	0.5	catch	721	69	n/a	n/a	n/a	n/a	catch069.jpg
52.5	0.5	exp	464	8	n/a	1169.0	8.0	n/a	pie/pie_08s.jpg
57.0	0.5	exp	706	8	n/a	1812.0	8.0	n/a	whisk/whisk_08s.jpg
61.5	0.5	exp	299	8	n/a	741.0	8.0	n/a	hamburger/hamburger_08s.jpg
66.0	0.5	exp	562	8	n/a	1438.0	8.0	n/a	shredder/shredder_08s.jpg
70.5	0.5	exp	278	8	n/a	692.0	8.0	n/a	gondola/gondola_08s.jpg
75.0	0.5	exp	377	8	n/a	946.0	8.0	n/a	lollipop/lollipop_08s.jpg
79.5	0.5	exp	466	8	n/a	1172.0	8.0	n/a	pigeon/pigeon_08s.jpg
84.0	0.5	exp	205	8	n/a	496.0	8.0	n/a	dog/dog_08s.jpg
88.5	0.5	exp	200	8	n/a	486.0	8.0	n/a	diaper/diaper_08s.jpg
93.0	0.5	catch	721	19	n/a	n/a	n/a	0.575	catch019.jpg
97.5	0.5	exp	699	8	n/a	1791.0	8.0	n/a	water_fountain/water_fountain_08s.jpg
102.0	0.5	exp	720	8	n/a	1854.0	8.0	n/a	zucchini/zucchini_08n.jpg
106.5	0.5	test	7	13	2.0	17.0	13.0	n/a	altar/altar_13s.jpg
111.0	0.5	catch	721	70	n/a	n/a	n/a	0.763	catch070.jpg
115.5	0.5	exp	80	8	n/a	189.0	8.0	n/a	bracelet2/bracelet2_08s.jpg
120.0	0.5	exp	270	8	n/a	670.0	8.0	n/a	gel/gel_08s.jpg
124.5	0.5	exp	468	8	n/a	1177.0	8.0	n/a	pillow/pillow_08s.jpg
129.0	0.5	exp	281	8	n/a	701.0	8.0	n/a	granite/granite_08s.jpg
133.5	0.5	exp	272	8	n/a	677.0	8.0	n/a	girl/girl_08s.jpg
138.0	0.5	catch	721	77	n/a	n/a	n/a	0.97	catch077.jpg
142.5	0.5	exp	59	8	n/a	137.0	8.0	n/a	blanket/blanket_08s.jpg
147.0	0.5	exp	234	8	n/a	564.0	8.0	n/a	extinguisher/extinguisher_08s.jpg
151.5	0.5	exp	530	8	n/a	1324.0	8.0	n/a	roll/roll_08s.jpg
156.0	0.5	exp	590	8	n/a	1516.0	8.0	n/a	spinach/spinach_08s.jpg
160.5	0.5	exp	282	8	n/a	702.0	8.0	n/a	granola/granola_08s.jpg
165.0	0.5	test	214	13	35.0	515.0	13.0	n/a	dragonfly/dragonfly_13s.jpg
169.5	0.5	exp	529	8	n/a	1322.0	8.0	n/a	rocking_chair/rocking_chair_08s.jpg
174.0	0.5	exp	28	8	n/a	61.0	8.0	n/a	balloon/balloon_08s.jpg
178.5	0.5	exp	157	8	n/a	376.0	8.0	n/a	coconut/coconut_08s.jpg
183.0	0.5	exp	340	8	n/a	863.0	8.0	n/a	kangaroo/kangaroo_08s.jpg
187.5	0.5	exp	127	8	n/a	292.0	8.0	n/a	celery/celery_08n.jpg
192.0	0.5	exp	374	8	n/a	940.0	8.0	n/a	lobster/lobster_08s.jpg
196.5	0.5	test	679	13	94.0	1748.0	14.0	n/a	uniform/uniform_14s.jpg
201.0	0.5	test	191	13	32.0	459.0	16.0	n/a	cufflink/cufflink_16s.jpg
205.5	0.5	exp	292	8	n/a	720.0	8.0	n/a	guacamole/guacamole_08s.jpg
210.0	0.5	exp	415	8	n/a	1036.0	8.0	n/a	muffin/muffin_08n.jpg
214.5	0.5	catch	721	22	n/a	n/a	n/a	n/a	catch022.jpg
219.0	0.5	exp	348	8	n/a	884.0	8.0	n/a	knot/knot_08s.jpg
223.5	0.5	exp	605	8	n/a	1563.0	8.0	n/a	stopwatch/stopwatch_08s.jpg
228.0	0.5	exp	224	8	n/a	542.0	8.0	n/a	earwig/earwig_08n.jpg
232.5	0.5	catch	721	71	n/a	n/a	n/a	n/a	catch071.jpg
237.0	0.5	exp	167	8	n/a	398.0	8.0	n/a	contact_lens/contact_lens_08s.jpg
241.5	0.5	exp	333	8	n/a	841.0	8.0	n/a	jar/jar_08s.jpg
246.0	0.5	exp	587	8	n/a	1509.0	8.0	n/a	spatula/spatula_08s.jpg
250.5	0.5	exp	432	8	n/a	1078.0	8.0	n/a	onion/onion_08s.jpg
255.0	0.5	exp	121	8	n/a	278.0	8.0	n/a	carrot/carrot_08n.jpg
259.5	0.5	exp	114	8	n/a	259.0	8.0	n/a	cane/cane_08s.jpg
264.0	0.5	catch	721	31	n/a	n/a	n/a	n/a	catch031.jpg
268.5	0.5	test	79	13	18.0	187.0	14.0	n/a	brace/brace_14s.jpg
273.0	0.5	exp	624	8	n/a	1609.0	8.0	n/a	table/table_08s.jpg
277.5	0.5	catch	721	8	n/a	n/a	n/a	0.45	catch008.jpg
282.0	0.5	exp	40	8	n/a	102.0	8.0	n/a	beaker/beaker_08s.jpg
286.5	0.5	exp	604	8	n/a	1555.0	8.0	n/a	stiletto/stiletto_08s.jpg
291.0	0.5	exp	102	8	n/a	236.0	8.0	n/a	cactus/cactus_08n.jpg
295.5	0.5	test	213	13	34.0	514.0	19.0	n/a	dough/dough_19s.jpg
300.0	0.5	exp	496	8	n/a	1240.0	8.0	n/a	pretzel/pretzel_08s.jpg
304.5	0.5	exp	695	8	n/a	1782.0	8.0	n/a	warthog/warthog_08s.jpg
