onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	44	8	n/a	109.0	8.0	n/a	bed/bed_08s.jpg
7.5	0.5	exp	116	8	n/a	263.0	8.0	n/a	canoe/canoe_08s.jpg
12.0	0.5	exp	52	8	n/a	124.0	8.0	n/a	bike/bike_08s.jpg
16.5	0.5	exp	297	8	n/a	735.0	8.0	n/a	hairbrush/hairbrush_08s.jpg
21.0	0.5	exp	324	8	n/a	809.0	8.0	n/a	hovercraft/hovercraft_08s.jpg
25.5	0.5	exp	153	8	n/a	361.0	8.0	n/a	closet/closet_08s.jpg
30.0	0.5	catch	721	37	n/a	n/a	n/a	0.817	catch037.jpg
34.5	0.5	exp	404	8	n/a	1009.0	8.0	n/a	mitten/mitten_08s.jpg
39.0	0.5	exp	262	8	n/a	648.0	8.0	n/a	fudge/fudge_08s.jpg
43.5	0.5	exp	619	8	n/a	1603.0	8.0	n/a	sword/sword_08s.jpg
48.0	0.5	exp	314	8	n/a	779.0	8.0	n/a	highlighter/highlighter_08s.jpg
52.5	0.5	catch	721	24	n/a	n/a	n/a	0.594	catch024.jpg
57.0	0.5	exp	142	8	n/a	331.0	8.0	n/a	chin/chin_08s.jpg
61.5	0.5	exp	678	8	n/a	1745.0	8.0	n/a	undershirt/undershirt_08s.jpg
66.0	0.5	exp	567	8	n/a	1448.0	8.0	n/a	sink/sink_08s.jpg
70.5	0.5	exp	482	8	n/a	1209.0	8.0	n/a	pogo_stick/pogo_stick_08s.jpg
75.0	0.5	exp	111	8	n/a	254.0	8.0	n/a	candle/candle_08n.jpg
79.5	0.5	exp	77	8	n/a	184.0	8.0	n/a	boxing_gloves/boxing_gloves_08s.jpg
84.0	0.5	exp	330	8	n/a	833.0	8.0	n/a	iron/iron_08s.jpg
88.5	0.5	test	453	13	74.0	1134.0	13.0	n/a	pear/pear_13s.jpg
93.0	0.5	exp	106	8	n/a	245.0	8.0	n/a	camcorder/camcorder_08s.jpg
97.5	0.5	exp	689	8	n/a	1776.0	8.0	n/a	wall/wall_08s.jpg
102.0	0.5	test	344	13	60.0	870.0	17.0	n/a	key/key_17s.jpg
106.5	0.5	exp	430	8	n/a	1075.0	8.0	n/a	okra/okra_08s.jpg
111.0	0.5	exp	486	8	n/a	1224.0	8.0	n/a	popcorn/popcorn_08s.jpg
115.5	0.5	exp	329	8	n/a	829.0	8.0	n/a	inhaler/inhaler_08s.jpg
120.0	0.5	exp	175	8	n/a	426.0	8.0	n/a	coverall/coverall_08s.jpg
124.5	0.5	exp	642	8	n/a	1656.0	8.0	n/a	tiara/tiara_08s.jpg
129.0	0.5	catch	721	96	n/a	n/a	n/a	0.675	catch096.jpg
133.5	0.5	exp	684	8	n/a	1762.0	8.0	n/a	videocassette/videocassette_08n.jpg
138.0	0.5	exp	572	8	n/a	1472.0	8.0	n/a	sloth/sloth_08s.jpg
142.5	0.5	exp	251	8	n/a	612.0	8.0	n/a	flashlight/flashlight_08s.jpg
147.0	0.5	catch	721	79	n/a	n/a	n/a	0.799	catch079.jpg
151.5	0.5	exp	86	8	n/a	204.0	8.0	n/a	broom/broom_08s.jpg
156.0	0.5	exp	75	8	n/a	178.0	8.0	n/a	bowl/bowl_08s.jpg
160.5	0.5	exp	674	8	n/a	1740.0	8.0	n/a	tweezers/tweezers_08s.jpg
165.0	0.5	exp	577	8	n/a	1482.0	8.0	n/a	snowboard/snowboard_08s.jpg
169.5	0.5	exp	29	8	n/a	63.0	8.0	n/a	bamboo/bamboo_08s.jpg
174.0	0.5	exp	451	8	n/a	1130.0	8.0	n/a	peach/peach_08s.jpg
178.5	0.5	catch	721	27	n/a	n/a	n/a	0.656	catch027.jpg
183.0	0.5	exp	560	8	n/a	1434.0	8.0	n/a	shower/shower_08s.jpg
187.5	0.5	exp	615	8	n/a	1587.0	8.0	n/a	sunroof/sunroof_08s.jpg
192.0	0.5	exp	563	8	n/a	1439.0	8.0	n/a	shrimp/shrimp_08s.jpg
196.5	0.5	exp	73	8	n/a	171.0	8.0	n/a	bottle/bottle_08s.jpg
201.0	0.5	catch	721	84	n/a	n/a	n/a	n/a	catch084.jpg
205.5	0.5	exp	338	8	n/a	858.0	8.0	n/a	jukebox/jukebox_08s.jpg
210.0	0.5	exp	634	8	n/a	1641.0	8.0	n/a	telescope/telescope_08n.jpg
214.5	0.5	exp	39	8	n/a	100.0	8.0	n/a	beachball/beachball_08s.jpg
219.0	0.5	test	698	13	98.0	1787.0	13.0	n/a	watch/watch_13s.jpg
223.5	0.5	exp	18	8	n/a	40.0	8.0	n/a	artichoke/artichoke_08n.jpg
228.0	0.5	exp	342	8	n/a	866.0	8.0	n/a	kebab/kebab_08n.jpg
232.5	0.5	exp	667	8	n/a	1710.0	8.0	n/a	tree_trunk/tree_trunk_08s.jpg
237.0	0.5	exp	46	8	n/a	114.0	8.0	n/a	beer/beer_08s.jpg
241.5	0.5	test	217	13	38.0	519.0	13.0	n/a	dress/dress_13s.jpg
246.0	0.5	exp	626	8	n/a	1614.0	8.0	n/a	taco/taco_08s.jpg
250.5	0.5	test	320	13	52.0	800.0	13.0	n/a	horseshoe/horseshoe_13n.jpg
255.0	0.5	exp	295	8	n/a	724.0	8.0	n/a	guitar/guitar_08s.jpg
