onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	444	3	n/a	1112.0	3.0	n/a	papaya/papaya_03s.jpg
7.5	0.5	exp	394	3	n/a	989.0	3.0	n/a	meat_grinder/meat_grinder_03s.jpg
12.0	0.5	test	50	13	12.0	121.0	16.0	n/a	bench/bench_16n.jpg
16.5	0.5	exp	624	3	n/a	1609.0	3.0	n/a	table/table_03s.jpg
21.0	0.5	exp	143	3	n/a	333.0	3.0	n/a	chinchilla/chinchilla_03s.jpg
25.5	0.5	exp	352	3	n/a	892.0	3.0	n/a	lamp/lamp_03s.jpg
30.0	0.5	exp	154	3	n/a	370.0	3.0	n/a	coat/coat_03s.jpg
34.5	0.5	exp	105	3	n/a	241.0	3.0	n/a	calculator/calculator_03s.jpg
39.0	0.5	exp	615	3	n/a	1587.0	3.0	n/a	sunroof/sunroof_03s.jpg
43.5	0.5	exp	637	3	n/a	1647.0	3.0	n/a	thermometer/thermometer_03s.jpg
48.0	0.5	exp	272	3	n/a	677.0	3.0	n/a	girl/girl_03s.jpg
52.5	0.5	exp	391	3	n/a	982.0	3.0	n/a	mast/mast_03s.jpg
57.0	0.5	test	29	13	5.0	63.0	13.0	n/a	bamboo/bamboo_13s.jpg
61.5	0.5	exp	301	3	n/a	743.0	3.0	n/a	hammock/hammock_03s.jpg
66.0	0.5	exp	28	3	n/a	61.0	3.0	n/a	balloon/balloon_03s.jpg
70.5	0.5	test	155	13	27.0	371.0	13.0	n/a	coat/coat_rack_13s.jpg
75.0	0.5	catch	721	63	n/a	n/a	n/a	0.628	catch063.jpg
79.5	0.5	exp	101	3	n/a	233.0	3.0	n/a	cabbage/cabbage_03s.jpg
84.0	0.5	exp	522	3	n/a	1308.0	3.0	n/a	rhubarb/rhubarb_03s.jpg
88.5	0.5	exp	518	3	n/a	1301.0	3.0	n/a	refrigerator/refrigerator_03s.jpg
93.0	0.5	exp	509	3	n/a	1275.0	3.0	n/a	radish/radish_03n.jpg
97.5	0.5	exp	115	3	n/a	261.0	3.0	n/a	cannon/cannon_03n.jpg
102.0	0.5	exp	667	3	n/a	1710.0	3.0	n/a	tree_trunk/tree_trunk_03s.jpg
