onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	449	3	n/a	1125.0	3.0	n/a	pastry/pastry_03n.jpg
7.5	0.5	exp	658	3	n/a	1693.0	3.0	n/a	towel/towel_03s.jpg
12.0	0.5	exp	587	3	n/a	1509.0	3.0	n/a	spatula/spatula_03s.jpg
16.5	0.5	exp	288	3	n/a	711.0	3.0	n/a	gravestone/gravestone_03s.jpg
21.0	0.5	exp	266	3	n/a	659.0	3.0	n/a	garlic/garlic_03s.jpg
25.5	0.5	exp	237	3	n/a	570.0	3.0	n/a	face/face_03s.jpg
30.0	0.5	exp	703	3	n/a	1808.0	3.0	n/a	wheelbarrow/wheelbarrow_03s.jpg
34.5	0.5	exp	613	3	n/a	1583.0	3.0	n/a	sundae/sundae_03s.jpg
39.0	0.5	exp	452	3	n/a	1132.0	3.0	n/a	peanut/peanut_03s.jpg
43.5	0.5	exp	38	3	n/a	98.0	3.0	n/a	battery/battery_03n.jpg
48.0	0.5	catch	721	65	n/a	n/a	n/a	0.545	catch065.jpg
52.5	0.5	exp	513	3	n/a	1286.0	3.0	n/a	rat/rat_03s.jpg
57.0	0.5	exp	302	3	n/a	744.0	3.0	n/a	hamster/hamster_03s.jpg
61.5	0.5	exp	376	3	n/a	942.0	3.0	n/a	locker/locker_03s.jpg
66.0	0.5	exp	333	3	n/a	841.0	3.0	n/a	jar/jar_03s.jpg
70.5	0.5	exp	329	3	n/a	829.0	3.0	n/a	inhaler/inhaler_03s.jpg
75.0	0.5	test	677	13	93.0	1744.0	13.0	n/a	umbrella/umbrella_13s.jpg
79.5	0.5	exp	648	3	n/a	1671.0	3.0	n/a	toilet/toilet_03s.jpg
84.0	0.5	exp	214	3	n/a	515.0	3.0	n/a	dragonfly/dragonfly_03s.jpg
88.5	0.5	exp	641	3	n/a	1655.0	3.0	n/a	thumbtack/thumbtack_03s.jpg
93.0	0.5	exp	370	3	n/a	934.0	3.0	n/a	lion/lion_03s.jpg
97.5	0.5	catch	721	82	n/a	n/a	n/a	0.904	catch082.jpg
102.0	0.5	exp	447	3	n/a	1119.0	3.0	n/a	parachute/parachute_03s.jpg
106.5	0.5	exp	255	3	n/a	627.0	3.0	n/a	fondue/fondue_03s.jpg
111.0	0.5	test	609	13	87.0	1572.0	13.0	n/a	streetlight/streetlight_13s.jpg
115.5	0.5	test	46	13	11.0	114.0	14.0	n/a	beer/beer_14s.jpg
120.0	0.5	test	501	13	76.0	1254.0	21.0	n/a	pumpkin/pumpkin_21n.jpg
124.5	0.5	exp	619	3	n/a	1603.0	3.0	n/a	sword/sword_03s.jpg
129.0	0.5	catch	721	17	n/a	n/a	n/a	0.717	catch017.jpg
133.5	0.5	exp	277	3	n/a	690.0	3.0	n/a	golf_cart/golf_cart_03s.jpg
138.0	0.5	exp	362	3	n/a	916.0	3.0	n/a	lemonade/lemonade_03s.jpg
142.5	0.5	exp	134	3	n/a	313.0	3.0	n/a	cheese/cheese_03s.jpg
147.0	0.5	exp	672	3	n/a	1737.0	3.0	n/a	turtle/turtle_03s.jpg
151.5	0.5	exp	419	3	n/a	1052.0	3.0	n/a	napkin_ring/napkin_ring_03s.jpg
156.0	0.5	test	679	13	94.0	1748.0	14.0	n/a	uniform/uniform_14s.jpg
