onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	469	3	n/a	1183.0	3.0	n/a	pineapple/pineapple_03n.jpg
7.5	0.5	exp	475	3	n/a	1198.0	3.0	n/a	plate/plate_03s.jpg
12.0	0.5	test	308	13	48.0	765.0	14.0	n/a	headlamp/headlamp_14s.jpg
16.5	0.5	test	388	13	65.0	978.0	13.0	n/a	marshmallow/marshmallow_13s.jpg
21.0	0.5	exp	457	3	n/a	1144.0	3.0	n/a	pencil_sharpener/pencil_sharpener_03s.jpg
25.5	0.5	exp	215	3	n/a	516.0	3.0	n/a	drain/drain_03s.jpg
30.0	0.5	exp	248	3	n/a	601.0	3.0	n/a	fish/fish_03s.jpg
34.5	0.5	catch	721	51	n/a	n/a	n/a	0.856	catch051.jpg
39.0	0.5	exp	22	3	n/a	46.0	3.0	n/a	axe/axe_03n.jpg
43.5	0.5	exp	560	3	n/a	1434.0	3.0	n/a	shower/shower_03s.jpg
48.0	0.5	exp	97	3	n/a	225.0	3.0	n/a	burner/burner_03s.jpg
52.5	0.5	exp	250	3	n/a	611.0	3.0	n/a	flashbulb/flashbulb_03s.jpg
57.0	0.5	catch	721	92	n/a	n/a	n/a	0.524	catch092.jpg
61.5	0.5	test	523	13	79.0	1309.0	13.0	n/a	ribbon/ribbon_13s.jpg
66.0	0.5	exp	689	3	n/a	1776.0	3.0	n/a	wall/wall_03s.jpg
70.5	0.5	exp	299	3	n/a	741.0	3.0	n/a	hamburger/hamburger_03s.jpg
75.0	0.5	exp	510	3	n/a	1276.0	3.0	n/a	raft/raft_03s.jpg
79.5	0.5	exp	487	3	n/a	1226.0	3.0	n/a	popsicle/popsicle_03s.jpg
84.0	0.5	exp	355	3	n/a	899.0	3.0	n/a	lasagna/lasagna_03s.jpg
88.5	0.5	exp	348	3	n/a	884.0	3.0	n/a	knot/knot_03s.jpg
93.0	0.5	exp	462	3	n/a	1166.0	3.0	n/a	piano/piano_03n.jpg
97.5	0.5	exp	116	3	n/a	263.0	3.0	n/a	canoe/canoe_03s.jpg
102.0	0.5	exp	586	3	n/a	1506.0	3.0	n/a	spareribs/spareribs_03s.jpg
106.5	0.5	exp	477	3	n/a	1200.0	3.0	n/a	playing_card/playing_card_03s.jpg
111.0	0.5	catch	721	71	n/a	n/a	n/a	0.589	catch071.jpg
115.5	0.5	exp	478	3	n/a	1202.0	3.0	n/a	pliers/pliers_03s.jpg
120.0	0.5	exp	175	3	n/a	426.0	3.0	n/a	coverall/coverall_03s.jpg
124.5	0.5	catch	721	26	n/a	n/a	n/a	0.941	catch026.jpg
129.0	0.5	exp	676	3	n/a	1743.0	3.0	n/a	ukulele/ukulele_03s.jpg
133.5	0.5	exp	202	3	n/a	490.0	3.0	n/a	dish/dish_03s.jpg
138.0	0.5	test	344	13	60.0	870.0	17.0	n/a	key/key_17s.jpg
142.5	0.5	exp	682	3	n/a	1754.0	3.0	n/a	vase/vase_03s.jpg
147.0	0.5	catch	721	16	n/a	n/a	n/a	0.662	catch016.jpg
151.5	0.5	exp	363	3	n/a	918.0	3.0	n/a	leopard/leopard_03s.jpg
156.0	0.5	exp	227	3	n/a	548.0	3.0	n/a	egg_roll/egg_roll_03n.jpg
160.5	0.5	exp	160	3	n/a	386.0	3.0	n/a	coin/coin_03s.jpg
165.0	0.5	test	215	13	36.0	516.0	16.0	n/a	drain/drain_16s.jpg
169.5	0.5	exp	642	3	n/a	1656.0	3.0	n/a	tiara/tiara_03s.jpg
174.0	0.5	catch	721	33	n/a	n/a	n/a	0.659	catch033.jpg
178.5	0.5	exp	61	3	n/a	139.0	3.0	n/a	blender/blender_03s.jpg
183.0	0.5	exp	368	3	n/a	932.0	3.0	n/a	limousine/limousine_03s.jpg
187.5	0.5	test	223	13	39.0	541.0	16.0	n/a	earring/earring_16n.jpg
192.0	0.5	exp	293	3	n/a	721.0	3.0	n/a	guardrail/guardrail_03s.jpg
196.5	0.5	exp	177	3	n/a	431.0	3.0	n/a	cranberry/cranberry_03n.jpg
201.0	0.5	exp	190	3	n/a	458.0	3.0	n/a	cucumber/cucumber_03s.jpg
205.5	0.5	exp	618	3	n/a	1594.0	3.0	n/a	sweatsuit/sweatsuit_03s.jpg
210.0	0.5	test	262	13	43.0	648.0	14.0	n/a	fudge/fudge_14s.jpg
214.5	0.5	exp	677	3	n/a	1744.0	3.0	n/a	umbrella/umbrella_03s.jpg
219.0	0.5	exp	656	3	n/a	1691.0	3.0	n/a	toucan/toucan_03s.jpg
223.5	0.5	exp	102	3	n/a	236.0	3.0	n/a	cactus/cactus_03s.jpg
228.0	0.5	exp	298	3	n/a	738.0	3.0	n/a	hairpin/hairpin_03s.jpg
232.5	0.5	exp	486	3	n/a	1224.0	3.0	n/a	popcorn/popcorn_03s.jpg
237.0	0.5	exp	347	3	n/a	880.0	3.0	n/a	knife/knife_03s.jpg
241.5	0.5	exp	42	3	n/a	106.0	3.0	n/a	bear/bear_03s.jpg
246.0	0.5	exp	428	3	n/a	1071.0	3.0	n/a	octopus/octopus_03s.jpg
250.5	0.5	exp	390	3	n/a	981.0	3.0	n/a	mask/mask_03s.jpg
255.0	0.5	exp	610	3	n/a	1578.0	3.0	n/a	submarine/submarine_03s.jpg
259.5	0.5	test	286	13	46.0	708.0	13.0	n/a	grate/grate_13s.jpg
264.0	0.5	catch	721	43	n/a	n/a	n/a	1.28	catch043.jpg
268.5	0.5	exp	6	3	n/a	15.0	3.0	n/a	aloe/aloe_03n.jpg
273.0	0.5	exp	55	3	n/a	131.0	3.0	n/a	birdcage/birdcage_03s.jpg
277.5	0.5	exp	603	3	n/a	1551.0	3.0	n/a	stethoscope/stethoscope_03s.jpg
282.0	0.5	exp	210	3	n/a	505.0	3.0	n/a	donkey/donkey_03s.jpg
286.5	0.5	exp	498	3	n/a	1243.0	3.0	n/a	projector/projector_03s.jpg
291.0	0.5	exp	579	3	n/a	1490.0	3.0	n/a	sock/sock_03s.jpg
295.5	0.5	exp	483	3	n/a	1213.0	3.0	n/a	polaroid/polaroid_03s.jpg
300.0	0.5	exp	226	3	n/a	547.0	3.0	n/a	egg/egg_03s.jpg
304.5	0.5	catch	721	39	n/a	n/a	n/a	0.516	catch039.jpg
309.0	0.5	exp	523	3	n/a	1309.0	3.0	n/a	ribbon/ribbon_03s.jpg
313.5	0.5	exp	163	3	n/a	393.0	3.0	n/a	compass/compass_03s.jpg
318.0	0.5	exp	203	3	n/a	491.0	3.0	n/a	dishrag/dishrag_03s.jpg
322.5	0.5	exp	541	3	n/a	1376.0	3.0	n/a	scanner/scanner_03s.jpg
327.0	0.5	exp	14	3	n/a	28.0	3.0	n/a	antenna/antenna_03n.jpg
331.5	0.5	exp	414	3	n/a	1031.0	3.0	n/a	mousse/mousse_03s.jpg
336.0	0.5	test	325	13	54.0	811.0	16.0	n/a	hula/hula_hoop_16s.jpg
340.5	0.5	test	405	13	67.0	1018.0	18.0	n/a	monkey/monkey_18n.jpg
345.0	0.5	exp	464	3	n/a	1169.0	3.0	n/a	pie/pie_03s.jpg
349.5	0.5	exp	527	3	n/a	1316.0	3.0	n/a	road_sign/road_sign_03s.jpg
354.0	0.5	exp	412	3	n/a	1027.0	3.0	n/a	mouse1/mouse1_03s.jpg
358.5	0.5	exp	43	3	n/a	108.0	3.0	n/a	beaver/beaver_03s.jpg
363.0	0.5	exp	678	3	n/a	1745.0	3.0	n/a	undershirt/undershirt_03s.jpg
367.5	0.5	exp	59	3	n/a	137.0	3.0	n/a	blanket/blanket_03s.jpg
372.0	0.5	catch	721	22	n/a	n/a	n/a	0.629	catch022.jpg
376.5	0.5	exp	325	3	n/a	811.0	3.0	n/a	hula_hoop/hula_hoop_03s.jpg
381.0	0.5	exp	56	3	n/a	132.0	3.0	n/a	birdhouse/birdhouse_03s.jpg
385.5	0.5	exp	602	3	n/a	1546.0	3.0	n/a	steamroller/steamroller_03n.jpg
390.0	0.5	exp	578	3	n/a	1485.0	3.0	n/a	snowplow/snowplow_03s.jpg
394.5	0.5	catch	721	90	n/a	n/a	n/a	0.713	catch090.jpg
399.0	0.5	exp	548	3	n/a	1394.0	3.0	n/a	sea_urchin/sea_urchin_03s.jpg
403.5	0.5	exp	135	3	n/a	316.0	3.0	n/a	cheetah/cheetah_03s.jpg
408.0	0.5	exp	161	3	n/a	387.0	3.0	n/a	coleslaw/coleslaw_03s.jpg
412.5	0.5	exp	395	3	n/a	990.0	3.0	n/a	meatball/meatball_03s.jpg
