onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	652	12	n/a	1676.0	12.0	n/a	tongue/tongue_12s.jpg
7.5	0.5	exp	656	12	n/a	1691.0	12.0	n/a	toucan/toucan_12s.jpg
12.0	0.5	exp	84	12	n/a	197.0	12.0	n/a	breadstick/breadstick_12s.jpg
16.5	0.5	exp	132	12	n/a	304.0	12.0	n/a	chalkboard/chalkboard_12s.jpg
21.0	0.5	catch	721	18	n/a	n/a	n/a	0.753	catch018.jpg
25.5	0.5	exp	190	12	n/a	458.0	12.0	n/a	cucumber/cucumber_12s.jpg
30.0	0.5	exp	105	12	n/a	241.0	12.0	n/a	calculator/calculator_12s.jpg
34.5	0.5	exp	272	12	n/a	677.0	12.0	n/a	girl/girl_12s.jpg
39.0	0.5	exp	22	12	n/a	46.0	12.0	n/a	axe/axe_12n.jpg
43.5	0.5	exp	561	12	n/a	1435.0	12.0	n/a	shower_cap/shower_cap_12s.jpg
48.0	0.5	exp	244	12	n/a	586.0	12.0	n/a	filing_cabinet/filing_cabinet_12s.jpg
52.5	0.5	test	46	13	11.0	114.0	14.0	n/a	beer/beer_14s.jpg
57.0	0.5	exp	462	12	n/a	1166.0	12.0	n/a	piano/piano_12n.jpg
61.5	0.5	test	308	13	48.0	765.0	14.0	n/a	headlamp/headlamp_14s.jpg
66.0	0.5	exp	206	12	n/a	500.0	12.0	n/a	doll/doll_12s.jpg
70.5	0.5	exp	32	12	n/a	67.0	12.0	n/a	bandage/bandage_12s.jpg
75.0	0.5	exp	288	12	n/a	711.0	12.0	n/a	gravestone/gravestone_12s.jpg
79.5	0.5	exp	617	12	n/a	1590.0	12.0	n/a	suspenders/suspenders_12s.jpg
84.0	0.5	exp	567	12	n/a	1448.0	12.0	n/a	sink/sink_12s.jpg
88.5	0.5	exp	207	12	n/a	501.0	12.0	n/a	dollhouse/dollhouse_12s.jpg
93.0	0.5	exp	315	12	n/a	781.0	12.0	n/a	hip/hip_12s.jpg
97.5	0.5	catch	721	9	n/a	n/a	n/a	0.722	catch009.jpg
102.0	0.5	exp	86	12	n/a	204.0	12.0	n/a	broom/broom_12s.jpg
106.5	0.5	exp	639	12	n/a	1649.0	12.0	n/a	thermostat/thermostat_12s.jpg
111.0	0.5	exp	450	12	n/a	1129.0	12.0	n/a	pea/pea_12s.jpg
115.5	0.5	exp	464	12	n/a	1169.0	12.0	n/a	pie/pie_12s.jpg
120.0	0.5	exp	243	12	n/a	582.0	12.0	n/a	fig/fig_12s.jpg
124.5	0.5	exp	224	12	n/a	542.0	12.0	n/a	earwig/earwig_12s.jpg
129.0	0.5	exp	568	12	n/a	1456.0	12.0	n/a	ski_pole/ski_pole_12s.jpg
133.5	0.5	exp	197	12	n/a	477.0	12.0	n/a	deer/deer_12s.jpg
138.0	0.5	exp	430	12	n/a	1075.0	12.0	n/a	okra/okra_12s.jpg
142.5	0.5	exp	202	12	n/a	490.0	12.0	n/a	dish/dish_12s.jpg
147.0	0.5	exp	106	12	n/a	245.0	12.0	n/a	camcorder/camcorder_12s.jpg
151.5	0.5	catch	721	73	n/a	n/a	n/a	0.735	catch073.jpg
156.0	0.5	exp	157	12	n/a	376.0	12.0	n/a	coconut/coconut_12s.jpg
160.5	0.5	exp	586	12	n/a	1506.0	12.0	n/a	spareribs/spareribs_12s.jpg
165.0	0.5	exp	306	12	n/a	759.0	12.0	n/a	hatbox/hatbox_12s.jpg
169.5	0.5	exp	373	12	n/a	939.0	12.0	n/a	llama/llama_12s.jpg
174.0	0.5	exp	526	12	n/a	1314.0	12.0	n/a	ring/ring_12s.jpg
178.5	0.5	exp	305	12	n/a	752.0	12.0	n/a	hanger/hanger_12s.jpg
183.0	0.5	exp	439	12	n/a	1098.0	12.0	n/a	paintbrush/paintbrush_12s.jpg
187.5	0.5	test	622	13	88.0	1607.0	13.0	n/a	t-shirt/t-shirt_13s.jpg
192.0	0.5	catch	721	51	n/a	n/a	n/a	0.653	catch051.jpg
196.5	0.5	exp	69	12	n/a	156.0	12.0	n/a	bobsled/bobsled_12s.jpg
201.0	0.5	exp	195	12	n/a	469.0	12.0	n/a	cymbal/cymbal_12s.jpg
205.5	0.5	test	691	13	96.0	1778.0	13.0	n/a	wallpaper/wallpaper_13s.jpg
210.0	0.5	test	405	13	67.0	1018.0	18.0	n/a	monkey/monkey_18n.jpg
214.5	0.5	exp	481	12	n/a	1208.0	12.0	n/a	pocketknife/pocketknife_12s.jpg
219.0	0.5	exp	284	12	n/a	704.0	12.0	n/a	grapefruit/grapefruit_12s.jpg
223.5	0.5	catch	721	37	n/a	n/a	n/a	0.875	catch037.jpg
228.0	0.5	exp	274	12	n/a	683.0	12.0	n/a	go-kart/go-kart_12s.jpg
232.5	0.5	exp	509	12	n/a	1275.0	12.0	n/a	radish/radish_12s.jpg
237.0	0.5	test	223	13	39.0	541.0	16.0	n/a	earring/earring_16n.jpg
241.5	0.5	exp	346	12	n/a	875.0	12.0	n/a	kite/kite_12s.jpg
246.0	0.5	exp	484	12	n/a	1219.0	12.0	n/a	pom-pom/pom-pom_12s.jpg
250.5	0.5	exp	312	12	n/a	776.0	12.0	n/a	helicopter/helicopter_12s.jpg
255.0	0.5	exp	299	12	n/a	741.0	12.0	n/a	hamburger/hamburger_12s.jpg
259.5	0.5	exp	623	12	n/a	1608.0	12.0	n/a	tab/tab_12s.jpg
264.0	0.5	exp	352	12	n/a	892.0	12.0	n/a	lamp/lamp_12s.jpg
268.5	0.5	exp	628	12	n/a	1617.0	12.0	n/a	tag/tag_12s.jpg
273.0	0.5	exp	174	12	n/a	423.0	12.0	n/a	couch/couch_12s.jpg
277.5	0.5	catch	721	60	n/a	n/a	n/a	0.861	catch060.jpg
282.0	0.5	exp	143	12	n/a	333.0	12.0	n/a	chinchilla/chinchilla_12s.jpg
286.5	0.5	exp	682	12	n/a	1754.0	12.0	n/a	vase/vase_12n.jpg
291.0	0.5	catch	721	86	n/a	n/a	n/a	0.568	catch086.jpg
295.5	0.5	exp	7	12	n/a	17.0	12.0	n/a	altar/altar_12s.jpg
300.0	0.5	exp	88	12	n/a	206.0	12.0	n/a	brush/brush_12s.jpg
304.5	0.5	catch	721	100	n/a	n/a	n/a	0.703	catch100.jpg
309.0	0.5	exp	706	12	n/a	1812.0	12.0	n/a	whisk/whisk_12s.jpg
313.5	0.5	exp	92	12	n/a	216.0	12.0	n/a	bulldozer/bulldozer_12s.jpg
318.0	0.5	test	675	13	92.0	1742.0	13.0	n/a	typewriter/typewriter_13s.jpg
322.5	0.5	exp	247	12	n/a	599.0	12.0	n/a	fireworks/fireworks_12s.jpg
327.0	0.5	catch	721	17	n/a	n/a	n/a	0.603	catch017.jpg
