onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	test	384	13	64.0	967.0	13.0	n/a	mango/mango_13s.jpg
7.5	0.5	exp	47	4	n/a	115.0	4.0	n/a	beet/beet_04s.jpg
12.0	0.5	exp	489	4	n/a	1229.0	4.0	n/a	possum/possum_04s.jpg
16.5	0.5	exp	453	4	n/a	1134.0	4.0	n/a	pear/pear_04s.jpg
21.0	0.5	exp	548	4	n/a	1394.0	4.0	n/a	sea_urchin/sea_urchin_04s.jpg
25.5	0.5	exp	720	4	n/a	1854.0	4.0	n/a	zucchini/zucchini_04s.jpg
30.0	0.5	exp	142	4	n/a	331.0	4.0	n/a	chin/chin_04s.jpg
34.5	0.5	exp	661	4	n/a	1699.0	4.0	n/a	train/train_04s.jpg
39.0	0.5	catch	721	32	n/a	n/a	n/a	0.772	catch032.jpg
43.5	0.5	exp	540	4	n/a	1373.0	4.0	n/a	scallion/scallion_04s.jpg
48.0	0.5	exp	386	4	n/a	971.0	4.0	n/a	map/map_04s.jpg
52.5	0.5	exp	203	4	n/a	491.0	4.0	n/a	dishrag/dishrag_04s.jpg
57.0	0.5	exp	664	4	n/a	1706.0	4.0	n/a	tray/tray_04s.jpg
61.5	0.5	exp	225	4	n/a	543.0	4.0	n/a	easel/easel_04s.jpg
66.0	0.5	exp	715	4	n/a	1837.0	4.0	n/a	worm/worm_04n.jpg
70.5	0.5	test	679	13	94.0	1748.0	14.0	n/a	uniform/uniform_14s.jpg
75.0	0.5	exp	221	4	n/a	535.0	4.0	n/a	duster/duster_04s.jpg
79.5	0.5	exp	356	4	n/a	906.0	4.0	n/a	lawnmower/lawnmower_04n.jpg
84.0	0.5	exp	313	4	n/a	777.0	4.0	n/a	helmet/helmet_04s.jpg
88.5	0.5	exp	492	4	n/a	1232.0	4.0	n/a	potato/potato_04s.jpg
93.0	0.5	exp	163	4	n/a	393.0	4.0	n/a	compass/compass_04s.jpg
97.5	0.5	exp	461	4	n/a	1162.0	4.0	n/a	phone/phone_04s.jpg
102.0	0.5	exp	71	4	n/a	166.0	4.0	n/a	book/book_04s.jpg
106.5	0.5	exp	214	4	n/a	515.0	4.0	n/a	dragonfly/dragonfly_04s.jpg
111.0	0.5	exp	367	4	n/a	931.0	4.0	n/a	lime/lime_04s.jpg
115.5	0.5	catch	721	69	n/a	n/a	n/a	0.72	catch069.jpg
120.0	0.5	exp	201	4	n/a	487.0	4.0	n/a	dice/dice_04s.jpg
124.5	0.5	exp	175	4	n/a	426.0	4.0	n/a	coverall/coverall_04s.jpg
129.0	0.5	exp	634	4	n/a	1641.0	4.0	n/a	telescope/telescope_04s.jpg
133.5	0.5	catch	721	73	n/a	n/a	n/a	0.731	catch073.jpg
138.0	0.5	exp	302	4	n/a	744.0	4.0	n/a	hamster/hamster_04s.jpg
142.5	0.5	test	504	13	77.0	1264.0	15.0	n/a	quill/quill_15s.jpg
147.0	0.5	exp	442	4	n/a	1106.0	4.0	n/a	panda/panda_04s.jpg
151.5	0.5	exp	601	4	n/a	1545.0	4.0	n/a	steak/steak_04s.jpg
156.0	0.5	exp	366	4	n/a	928.0	4.0	n/a	lightbulb/lightbulb_04s.jpg
160.5	0.5	test	258	13	42.0	633.0	15.0	n/a	footprint/footprint_15s.jpg
165.0	0.5	catch	721	14	n/a	n/a	n/a	0.776	catch014.jpg
169.5	0.5	exp	713	4	n/a	1833.0	4.0	n/a	woman/woman_04s.jpg
174.0	0.5	exp	126	4	n/a	289.0	4.0	n/a	cauliflower/cauliflower_04s.jpg
178.5	0.5	exp	321	4	n/a	806.0	4.0	n/a	hotdog/hotdog_04s.jpg
183.0	0.5	exp	311	4	n/a	775.0	4.0	n/a	hedgehog/hedgehog_04s.jpg
187.5	0.5	test	636	13	91.0	1644.0	14.0	n/a	tent/tent_14n.jpg
192.0	0.5	exp	195	4	n/a	469.0	4.0	n/a	cymbal/cymbal_04s.jpg
196.5	0.5	exp	97	4	n/a	225.0	4.0	n/a	burner/burner_04s.jpg
201.0	0.5	exp	409	4	n/a	1022.0	4.0	n/a	mosquito_net/mosquito_net_04s.jpg
205.5	0.5	exp	716	4	n/a	1839.0	4.0	n/a	wrapping_paper/wrapping_paper_04s.jpg
210.0	0.5	exp	594	4	n/a	1528.0	4.0	n/a	squeegee/squeegee_04s.jpg
214.5	0.5	exp	267	4	n/a	660.0	4.0	n/a	garter/garter_04s.jpg
219.0	0.5	catch	721	82	n/a	n/a	n/a	0.804	catch082.jpg
223.5	0.5	exp	642	4	n/a	1656.0	4.0	n/a	tiara/tiara_04s.jpg
228.0	0.5	exp	497	4	n/a	1242.0	4.0	n/a	prism/prism_04s.jpg
232.5	0.5	exp	511	4	n/a	1278.0	4.0	n/a	railing/railing_04s.jpg
237.0	0.5	exp	521	4	n/a	1307.0	4.0	n/a	rhinoceros/rhinoceros_04s.jpg
241.5	0.5	exp	495	4	n/a	1239.0	4.0	n/a	praying_mantis/praying_mantis_04s.jpg
246.0	0.5	exp	482	4	n/a	1209.0	4.0	n/a	pogo_stick/pogo_stick_04s.jpg
250.5	0.5	exp	49	4	n/a	117.0	4.0	n/a	bell/bell_04s.jpg
255.0	0.5	catch	721	29	n/a	n/a	n/a	0.814	catch029.jpg
259.5	0.5	exp	358	4	n/a	911.0	4.0	n/a	leek/leek_04s.jpg
264.0	0.5	exp	169	4	n/a	406.0	4.0	n/a	copier/copier_04n.jpg
268.5	0.5	catch	721	79	n/a	n/a	n/a	0.981	catch079.jpg
273.0	0.5	exp	534	4	n/a	1342.0	4.0	n/a	ruler/ruler_04s.jpg
277.5	0.5	exp	430	4	n/a	1075.0	4.0	n/a	okra/okra_04s.jpg
282.0	0.5	exp	703	4	n/a	1808.0	4.0	n/a	wheelbarrow/wheelbarrow_04s.jpg
286.5	0.5	test	30	13	6.0	64.0	13.0	n/a	banana/banana_13s.jpg
291.0	0.5	exp	547	4	n/a	1392.0	4.0	n/a	screwdriver/screwdriver_04s.jpg
295.5	0.5	exp	269	4	n/a	669.0	4.0	n/a	gearshift/gearshift_04n.jpg
300.0	0.5	exp	334	4	n/a	843.0	4.0	n/a	jeans/jeans_04s.jpg
304.5	0.5	catch	721	25	n/a	n/a	n/a	0.824	catch025.jpg
309.0	0.5	exp	416	4	n/a	1041.0	4.0	n/a	mushroom/mushroom_04n.jpg
313.5	0.5	test	50	13	12.0	121.0	16.0	n/a	bench/bench_16n.jpg
318.0	0.5	exp	46	4	n/a	114.0	4.0	n/a	beer/beer_04s.jpg
322.5	0.5	exp	635	4	n/a	1642.0	4.0	n/a	television/television_04s.jpg
327.0	0.5	exp	179	4	n/a	434.0	4.0	n/a	crate/crate_04s.jpg
331.5	0.5	exp	450	4	n/a	1129.0	4.0	n/a	pea/pea_04s.jpg
336.0	0.5	exp	712	4	n/a	1832.0	4.0	n/a	wolf/wolf_04s.jpg
340.5	0.5	catch	721	61	n/a	n/a	n/a	0.733	catch061.jpg
345.0	0.5	test	566	13	82.0	1447.0	13.0	n/a	sim/sim_card_13s.jpg
349.5	0.5	test	333	13	57.0	841.0	14.0	n/a	jar/jar_14s.jpg
354.0	0.5	test	591	13	84.0	1520.0	13.0	n/a	spoon/spoon_13n.jpg
358.5	0.5	catch	721	85	n/a	n/a	n/a	0.861	catch085.jpg
363.0	0.5	exp	571	4	n/a	1468.0	4.0	n/a	slingshot/slingshot_04s.jpg
367.5	0.5	exp	268	4	n/a	665.0	4.0	n/a	gauze/gauze_04s.jpg
372.0	0.5	exp	250	4	n/a	611.0	4.0	n/a	flashbulb/flashbulb_04s.jpg
376.5	0.5	exp	706	4	n/a	1812.0	4.0	n/a	whisk/whisk_04s.jpg
381.0	0.5	exp	320	4	n/a	800.0	4.0	n/a	horseshoe/horseshoe_04n.jpg
385.5	0.5	exp	689	4	n/a	1776.0	4.0	n/a	wall/wall_04s.jpg
390.0	0.5	exp	436	4	n/a	1094.0	4.0	n/a	pacifier/pacifier_04s.jpg
394.5	0.5	exp	580	4	n/a	1492.0	4.0	n/a	soda_fountain/soda_fountain_04s.jpg
399.0	0.5	exp	375	4	n/a	941.0	4.0	n/a	lock/lock_04s.jpg
403.5	0.5	exp	603	4	n/a	1551.0	4.0	n/a	stethoscope/stethoscope_04s.jpg
408.0	0.5	exp	60	4	n/a	138.0	4.0	n/a	blazer/blazer_04s.jpg
412.5	0.5	exp	153	4	n/a	361.0	4.0	n/a	closet/closet_04s.jpg
