onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	exp	613	4	n/a	1583.0	4.0	n/a	sundae/sundae_04s.jpg
7.5	0.5	test	597	13	85.0	1535.0	14.0	n/a	stalagmite/stalagmite_14s.jpg
12.0	0.5	test	68	13	16.0	155.0	14.0	n/a	boat/boat_14n.jpg
16.5	0.5	exp	56	4	n/a	132.0	4.0	n/a	birdhouse/birdhouse_04s.jpg
21.0	0.5	exp	7	4	n/a	17.0	4.0	n/a	altar/altar_04s.jpg
25.5	0.5	exp	207	4	n/a	501.0	4.0	n/a	dollhouse/dollhouse_04s.jpg
30.0	0.5	exp	668	4	n/a	1720.0	4.0	n/a	trowel/trowel_04s.jpg
34.5	0.5	exp	72	4	n/a	170.0	4.0	n/a	boot/boot_04s.jpg
39.0	0.5	exp	271	4	n/a	676.0	4.0	n/a	giraffe/giraffe_04s.jpg
43.5	0.5	exp	519	4	n/a	1304.0	4.0	n/a	retainer/retainer_04s.jpg
48.0	0.5	exp	168	4	n/a	401.0	4.0	n/a	cookie/cookie_04s.jpg
52.5	0.5	exp	699	4	n/a	1791.0	4.0	n/a	water_fountain/water_fountain_04s.jpg
57.0	0.5	exp	155	4	n/a	371.0	4.0	n/a	coat_rack/coat_rack_04s.jpg
61.5	0.5	catch	721	75	n/a	n/a	n/a	0.869	catch075.jpg
66.0	0.5	exp	462	4	n/a	1166.0	4.0	n/a	piano/piano_04n.jpg
70.5	0.5	exp	143	4	n/a	333.0	4.0	n/a	chinchilla/chinchilla_04s.jpg
75.0	0.5	exp	422	4	n/a	1057.0	4.0	n/a	nest/nest_04s.jpg
79.5	0.5	catch	721	46	n/a	n/a	n/a	0.768	catch046.jpg
84.0	0.5	exp	628	4	n/a	1617.0	4.0	n/a	tag/tag_04s.jpg
88.5	0.5	exp	567	4	n/a	1448.0	4.0	n/a	sink/sink_04s.jpg
93.0	0.5	exp	698	4	n/a	1787.0	4.0	n/a	watch/watch_04s.jpg
97.5	0.5	exp	55	4	n/a	131.0	4.0	n/a	birdcage/birdcage_04s.jpg
102.0	0.5	exp	637	4	n/a	1647.0	4.0	n/a	thermometer/thermometer_04s.jpg
106.5	0.5	exp	285	4	n/a	707.0	4.0	n/a	grasshopper/grasshopper_04s.jpg
111.0	0.5	exp	704	4	n/a	1809.0	4.0	n/a	wheelchair/wheelchair_04n.jpg
115.5	0.5	exp	659	4	n/a	1694.0	4.0	n/a	towel_rack/towel_rack_04s.jpg
120.0	0.5	exp	660	4	n/a	1696.0	4.0	n/a	tractor/tractor_04s.jpg
124.5	0.5	exp	243	4	n/a	582.0	4.0	n/a	fig/fig_04s.jpg
129.0	0.5	exp	587	4	n/a	1509.0	4.0	n/a	spatula/spatula_04s.jpg
133.5	0.5	exp	648	4	n/a	1671.0	4.0	n/a	toilet/toilet_04s.jpg
138.0	0.5	test	213	13	34.0	514.0	19.0	n/a	dough/dough_19s.jpg
142.5	0.5	exp	65	4	n/a	150.0	4.0	n/a	blueberry/blueberry_04n.jpg
147.0	0.5	catch	721	28	n/a	n/a	n/a	0.743	catch028.jpg
151.5	0.5	exp	82	4	n/a	195.0	4.0	n/a	bread/bread_04s.jpg
156.0	0.5	exp	86	4	n/a	204.0	4.0	n/a	broom/broom_04s.jpg
160.5	0.5	catch	721	17	n/a	n/a	n/a	0.83	catch017.jpg
165.0	0.5	exp	18	4	n/a	40.0	4.0	n/a	artichoke/artichoke_04s.jpg
169.5	0.5	exp	605	4	n/a	1563.0	4.0	n/a	stopwatch/stopwatch_04s.jpg
174.0	0.5	catch	721	54	n/a	n/a	n/a	0.755	catch054.jpg
178.5	0.5	exp	401	4	n/a	1006.0	4.0	n/a	mirror/mirror_04s.jpg
183.0	0.5	exp	537	4	n/a	1357.0	4.0	n/a	sandpaper/sandpaper_04s.jpg
187.5	0.5	exp	378	4	n/a	952.0	4.0	n/a	macadamia/macadamia_04s.jpg
192.0	0.5	exp	159	4	n/a	384.0	4.0	n/a	coffin/coffin_04s.jpg
196.5	0.5	exp	457	4	n/a	1144.0	4.0	n/a	pencil_sharpener/pencil_sharpener_04s.jpg
201.0	0.5	exp	644	4	n/a	1660.0	4.0	n/a	tiger/tiger_04s.jpg
205.5	0.5	exp	328	4	n/a	826.0	4.0	n/a	iguana/iguana_04s.jpg
210.0	0.5	exp	675	4	n/a	1742.0	4.0	n/a	typewriter/typewriter_04s.jpg
214.5	0.5	exp	308	4	n/a	765.0	4.0	n/a	headlamp/headlamp_04s.jpg
219.0	0.5	exp	374	4	n/a	940.0	4.0	n/a	lobster/lobster_04s.jpg
223.5	0.5	test	168	13	28.0	401.0	15.0	n/a	cookie/cookie_15s.jpg
228.0	0.5	exp	561	4	n/a	1435.0	4.0	n/a	shower_cap/shower_cap_04s.jpg
232.5	0.5	exp	669	4	n/a	1721.0	4.0	n/a	truck/truck_04n.jpg
237.0	0.5	exp	39	4	n/a	100.0	4.0	n/a	beachball/beachball_04s.jpg
241.5	0.5	catch	721	68	n/a	n/a	n/a	0.815	catch068.jpg
246.0	0.5	test	698	13	98.0	1787.0	13.0	n/a	watch/watch_13s.jpg
250.5	0.5	exp	654	4	n/a	1682.0	4.0	n/a	toothpick/toothpick_04s.jpg
255.0	0.5	test	39	13	7.0	100.0	16.0	n/a	beachball/beachball_16s.jpg
259.5	0.5	exp	191	4	n/a	459.0	4.0	n/a	cufflink/cufflink_04s.jpg
264.0	0.5	test	501	13	76.0	1254.0	21.0	n/a	pumpkin/pumpkin_21n.jpg
268.5	0.5	exp	574	4	n/a	1477.0	4.0	n/a	snail/snail_04s.jpg
273.0	0.5	exp	41	4	n/a	103.0	4.0	n/a	bean/bean_04s.jpg
277.5	0.5	exp	335	4	n/a	846.0	4.0	n/a	jellyfish/jellyfish_04s.jpg
282.0	0.5	test	134	13	23.0	313.0	14.0	n/a	cheese/cheese_14n.jpg
286.5	0.5	catch	721	39	n/a	n/a	n/a	0.891	catch039.jpg
291.0	0.5	exp	3	4	n/a	10.0	4.0	n/a	aircraft_carrier/aircraft_carrier_04s.jpg
295.5	0.5	exp	31	4	n/a	66.0	4.0	n/a	banana_split/banana_split_04s.jpg
300.0	0.5	exp	298	4	n/a	738.0	4.0	n/a	hairpin/hairpin_04s.jpg
304.5	0.5	exp	198	4	n/a	478.0	4.0	n/a	defibrillator/defibrillator_04s.jpg
309.0	0.5	exp	231	4	n/a	555.0	4.0	n/a	elephant/elephant_04n.jpg
313.5	0.5	catch	721	11	n/a	n/a	n/a	0.809	catch011.jpg
318.0	0.5	exp	475	4	n/a	1198.0	4.0	n/a	plate/plate_04s.jpg
322.5	0.5	exp	339	4	n/a	861.0	4.0	n/a	kale/kale_04s.jpg
327.0	0.5	exp	491	4	n/a	1231.0	4.0	n/a	pot/pot_04s.jpg
331.5	0.5	exp	467	4	n/a	1175.0	4.0	n/a	pill/pill_04s.jpg
336.0	0.5	exp	552	4	n/a	1411.0	4.0	n/a	shaving_cream/shaving_cream_04s.jpg
340.5	0.5	exp	332	4	n/a	840.0	4.0	n/a	jam/jam_04s.jpg
345.0	0.5	catch	721	36	n/a	n/a	n/a	0.867	catch036.jpg
349.5	0.5	exp	499	4	n/a	1246.0	4.0	n/a	puck/puck_04s.jpg
354.0	0.5	exp	248	4	n/a	601.0	4.0	n/a	fish/fish_04s.jpg
358.5	0.5	exp	94	4	n/a	220.0	4.0	n/a	bumper/bumper_04s.jpg
363.0	0.5	exp	343	4	n/a	869.0	4.0	n/a	kettle/kettle_04n.jpg
367.5	0.5	catch	721	72	n/a	n/a	n/a	0.768	catch072.jpg
372.0	0.5	exp	114	4	n/a	259.0	4.0	n/a	cane/cane_04s.jpg
376.5	0.5	exp	258	4	n/a	633.0	4.0	n/a	footprint/footprint_04s.jpg
381.0	0.5	exp	232	4	n/a	556.0	4.0	n/a	emerald/emerald_04s.jpg
385.5	0.5	test	46	13	11.0	114.0	14.0	n/a	beer/beer_14s.jpg
390.0	0.5	exp	139	4	n/a	321.0	4.0	n/a	chest2/chest2_04s.jpg
394.5	0.5	exp	50	4	n/a	121.0	4.0	n/a	bench/bench_04s.jpg
399.0	0.5	exp	516	4	n/a	1293.0	4.0	n/a	ready_meal/ready_meal_04s.jpg
403.5	0.5	test	279	13	44.0	698.0	17.0	n/a	graffiti/graffiti_17s.jpg
408.0	0.5	exp	337	4	n/a	853.0	4.0	n/a	joystick/joystick_04s.jpg
412.5	0.5	exp	421	4	n/a	1056.0	4.0	n/a	needle/needle_04s.jpg
