onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	test	22	13	4.0	46.0	14.0	n/a	axe/axe_14n.jpg
7.5	0.5	exp	48	11	n/a	116.0	11.0	n/a	beetle/beetle_11s.jpg
12.0	0.5	test	680	13	95.0	1749.0	13.0	n/a	urinal/urinal_13s.jpg
16.5	0.5	exp	595	11	n/a	1530.0	11.0	n/a	squirrel/squirrel_11s.jpg
21.0	0.5	exp	487	11	n/a	1226.0	11.0	n/a	popsicle/popsicle_11s.jpg
25.5	0.5	exp	344	11	n/a	870.0	11.0	n/a	key/key_11s.jpg
30.0	0.5	exp	606	11	n/a	1564.0	11.0	n/a	stove1/stove1_11s.jpg
34.5	0.5	exp	6	11	n/a	15.0	11.0	n/a	aloe/aloe_11n.jpg
39.0	0.5	exp	580	11	n/a	1492.0	11.0	n/a	soda_fountain/soda_fountain_11s.jpg
43.5	0.5	exp	484	11	n/a	1219.0	11.0	n/a	pom-pom/pom-pom_11s.jpg
48.0	0.5	catch	721	41	n/a	n/a	n/a	0.68	catch041.jpg
52.5	0.5	exp	121	11	n/a	278.0	11.0	n/a	carrot/carrot_11s.jpg
57.0	0.5	exp	674	11	n/a	1740.0	11.0	n/a	tweezers/tweezers_11s.jpg
61.5	0.5	exp	160	11	n/a	386.0	11.0	n/a	coin/coin_11s.jpg
66.0	0.5	catch	721	57	n/a	n/a	n/a	0.683	catch057.jpg
70.5	0.5	exp	324	11	n/a	809.0	11.0	n/a	hovercraft/hovercraft_11s.jpg
75.0	0.5	exp	373	11	n/a	939.0	11.0	n/a	llama/llama_11s.jpg
79.5	0.5	exp	542	11	n/a	1377.0	11.0	n/a	scarecrow/scarecrow_11s.jpg
84.0	0.5	exp	171	11	n/a	412.0	11.0	n/a	corkscrew/corkscrew_11s.jpg
88.5	0.5	exp	80	11	n/a	189.0	11.0	n/a	bracelet2/bracelet2_11s.jpg
93.0	0.5	exp	257	11	n/a	632.0	11.0	n/a	footbath/footbath_11s.jpg
97.5	0.5	exp	96	11	n/a	223.0	11.0	n/a	bunkbed/bunkbed_11s.jpg
102.0	0.5	catch	721	67	n/a	n/a	n/a	0.848	catch067.jpg
106.5	0.5	exp	154	11	n/a	370.0	11.0	n/a	coat/coat_11s.jpg
111.0	0.5	test	384	13	64.0	967.0	13.0	n/a	mango/mango_13s.jpg
115.5	0.5	exp	570	11	n/a	1463.0	11.0	n/a	sleeping_bag/sleeping_bag_11s.jpg
120.0	0.5	exp	518	11	n/a	1301.0	11.0	n/a	refrigerator/refrigerator_11s.jpg
124.5	0.5	exp	685	11	n/a	1764.0	11.0	n/a	viewfinder/viewfinder_11s.jpg
129.0	0.5	exp	319	11	n/a	799.0	11.0	n/a	horse/horse_11s.jpg
133.5	0.5	exp	562	11	n/a	1438.0	11.0	n/a	shredder/shredder_11s.jpg
138.0	0.5	exp	332	11	n/a	840.0	11.0	n/a	jam/jam_11s.jpg
142.5	0.5	catch	721	95	n/a	n/a	n/a	0.836	catch095.jpg
147.0	0.5	exp	12	11	n/a	26.0	11.0	n/a	anteater/anteater_11s.jpg
151.5	0.5	exp	380	11	n/a	961.0	11.0	n/a	mailbox/mailbox_11s.jpg
156.0	0.5	exp	520	11	n/a	1305.0	11.0	n/a	revolver/revolver_11s.jpg
160.5	0.5	test	697	13	97.0	1786.0	15.0	n/a	wasp/wasp_15n.jpg
165.0	0.5	catch	721	23	n/a	n/a	n/a	1.311	catch023.jpg
169.5	0.5	exp	274	11	n/a	683.0	11.0	n/a	go-kart/go-kart_11s.jpg
174.0	0.5	exp	357	11	n/a	909.0	11.0	n/a	lectern/lectern_11s.jpg
178.5	0.5	exp	204	11	n/a	492.0	11.0	n/a	dishwasher/dishwasher_11s.jpg
183.0	0.5	exp	718	11	n/a	1848.0	11.0	n/a	yo-yo/yo-yo_11s.jpg
187.5	0.5	test	312	13	49.0	776.0	25.0	n/a	helicopter/helicopter_25s.jpg
192.0	0.5	exp	481	11	n/a	1208.0	11.0	n/a	pocketknife/pocketknife_11s.jpg
196.5	0.5	exp	436	11	n/a	1094.0	11.0	n/a	pacifier/pacifier_11s.jpg
201.0	0.5	exp	714	11	n/a	1835.0	11.0	n/a	wooden_leg/wooden_leg_11s.jpg
205.5	0.5	test	362	13	63.0	916.0	14.0	n/a	lemonade/lemonade_14s.jpg
210.0	0.5	exp	59	11	n/a	137.0	11.0	n/a	blanket/blanket_11n.jpg
214.5	0.5	exp	504	11	n/a	1264.0	11.0	n/a	quill/quill_11s.jpg
219.0	0.5	test	7	13	2.0	17.0	13.0	n/a	altar/altar_13s.jpg
223.5	0.5	exp	563	11	n/a	1439.0	11.0	n/a	shrimp/shrimp_11s.jpg
228.0	0.5	exp	453	11	n/a	1134.0	11.0	n/a	pear/pear_11s.jpg
232.5	0.5	exp	151	11	n/a	356.0	11.0	n/a	clipboard/clipboard_11s.jpg
237.0	0.5	exp	352	11	n/a	892.0	11.0	n/a	lamp/lamp_11s.jpg
241.5	0.5	exp	454	11	n/a	1136.0	11.0	n/a	pecan/pecan_11s.jpg
246.0	0.5	exp	203	11	n/a	491.0	11.0	n/a	dishrag/dishrag_11s.jpg
250.5	0.5	exp	289	11	n/a	714.0	11.0	n/a	grenade/grenade_11s.jpg
255.0	0.5	catch	721	99	n/a	n/a	n/a	0.803	catch099.jpg
